,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,-2788.731766266878,2025-07-27 06:14:42.927311,2025-07-27 06:15:16.951428,0 days 00:00:34.024117,0.3,0.001,0.9999,COMPLETE
1,1,16415.698148399373,2025-07-27 06:15:16.951746,2025-07-27 06:16:30.744572,0 days 00:01:13.792826,0.3,1e-05,0.99,COMPLETE
2,2,4401.011269592276,2025-07-27 06:16:30.745376,2025-07-27 06:17:04.839827,0 days 00:00:34.094451,0.3,0.001,0.999,COMPLETE
3,3,1460.8914793936112,2025-07-27 06:17:04.840815,2025-07-27 06:17:38.829370,0 days 00:00:33.988555,0.3,1e-05,0.999,COMPLETE
4,4,21060.19694261815,2025-07-27 06:17:38.829880,2025-07-27 06:18:15.889000,0 days 00:00:37.059120,0.2,0.01,0.999,COMPLETE
5,5,18534.262764638243,2025-07-27 06:18:15.889823,2025-07-27 06:19:23.796062,0 days 00:01:07.906239,0.2,0.001,0.99,COMPLETE
6,6,-2871.4741558847063,2025-07-27 06:19:23.799218,2025-07-27 06:20:32.245472,0 days 00:01:08.446254,0.2,0.01,0.9999,COMPLETE
7,7,18534.262764638243,2025-07-27 06:20:32.245836,2025-07-27 06:21:40.039857,0 days 00:01:07.794021,0.2,0.001,0.99,COMPLETE
8,8,1792.8676615875315,2025-07-27 06:21:40.040210,2025-07-27 06:22:23.310770,0 days 00:00:43.270560,0.1,0.01,0.99,COMPLETE
9,9,12288.612627466106,2025-07-27 06:22:23.311286,2025-07-27 06:23:07.898280,0 days 00:00:44.586994,0.2,0.001,0.999,COMPLETE
10,10,-2480.9308344269757,2025-07-27 06:23:07.898663,2025-07-27 06:24:10.105371,0 days 00:01:02.206708,0.1,0.01,0.999,COMPLETE
11,11,-3784.835322974154,2025-07-27 06:24:10.106140,2025-07-27 06:25:08.935985,0 days 00:00:58.829845,0.2,0.01,0.99,COMPLETE
12,12,12288.612627466106,2025-07-27 06:25:08.936616,2025-07-27 06:25:53.408937,0 days 00:00:44.472321,0.2,0.001,0.999,COMPLETE
13,13,-3784.835322974154,2025-07-27 06:25:53.409323,2025-07-27 06:26:52.136626,0 days 00:00:58.727303,0.2,0.01,0.99,COMPLETE
14,14,16696.673528807016,2025-07-27 06:26:52.136973,2025-07-27 06:27:35.933092,0 days 00:00:43.796119,0.2,1e-05,0.9999,COMPLETE
15,15,12288.612627466106,2025-07-27 06:27:35.933964,2025-07-27 06:28:20.541664,0 days 00:00:44.607700,0.2,0.001,0.999,COMPLETE
16,16,1792.8676615875315,2025-07-27 06:28:20.542223,2025-07-27 06:29:03.860965,0 days 00:00:43.318742,0.1,0.01,0.99,COMPLETE
17,17,12288.612627466106,2025-07-27 06:29:03.861330,2025-07-27 06:29:48.801420,0 days 00:00:44.940090,0.2,0.001,0.999,COMPLETE
18,18,-3784.835322974154,2025-07-27 06:29:48.802269,2025-07-27 06:30:47.506935,0 days 00:00:58.704666,0.2,0.01,0.99,COMPLETE
19,19,228.17372084699971,2025-07-27 06:30:47.507293,2025-07-27 06:31:52.230651,0 days 00:01:04.723358,0.1,1e-05,0.9999,COMPLETE
