,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,58536.278709608516,2025-07-27 07:01:24.135860,2025-07-27 07:02:47.341222,0 days 00:01:23.205362,0.2,0.001,0.99,COMPLETE
1,1,40564.46722825661,2025-07-27 07:02:47.341917,2025-07-27 07:04:11.216719,0 days 00:01:23.874802,0.2,0.001,0.999,COMPLETE
2,2,40564.46722825661,2025-07-27 07:04:11.217557,2025-07-27 07:05:32.985371,0 days 00:01:21.767814,0.2,0.01,0.999,COMPLETE
3,3,40564.46722825661,2025-07-27 07:05:32.985745,2025-07-27 07:06:54.792725,0 days 00:01:21.806980,0.2,0.01,0.999,COMPLETE
4,4,40564.46722825661,2025-07-27 07:06:54.793610,2025-07-27 07:08:48.269660,0 days 00:01:53.476050,0.1,0.01,0.9999,COMPLETE
5,5,58536.278709608516,2025-07-27 07:08:48.270608,2025-07-27 07:10:11.533951,0 days 00:01:23.263343,0.2,0.001,0.99,COMPLETE
6,6,40564.46722825661,2025-07-27 07:10:11.534300,2025-07-27 07:11:26.116375,0 days 00:01:14.582075,0.3,0.01,0.999,COMPLETE
7,7,3437.1146575170364,2025-07-27 07:11:26.117400,2025-07-27 07:12:36.539156,0 days 00:01:10.421756,0.2,0.01,0.99,COMPLETE
8,8,40564.46722825661,2025-07-27 07:12:36.540151,2025-07-27 07:14:00.069330,0 days 00:01:23.529179,0.1,1e-05,0.99,COMPLETE
9,9,40564.46722825661,2025-07-27 07:14:00.069725,2025-07-27 07:15:11.624439,0 days 00:01:11.554714,0.1,1e-05,0.999,COMPLETE
10,10,5128.430273798894,2025-07-27 07:15:11.625317,2025-07-27 07:16:10.999263,0 days 00:00:59.373946,0.3,0.001,0.9999,COMPLETE
11,11,58536.278709608516,2025-07-27 07:16:10.999605,2025-07-27 07:17:34.663842,0 days 00:01:23.664237,0.2,0.001,0.99,COMPLETE
12,12,58536.278709608516,2025-07-27 07:17:34.664695,2025-07-27 07:18:58.283060,0 days 00:01:23.618365,0.2,0.001,0.99,COMPLETE
13,13,58536.278709608516,2025-07-27 07:18:58.284048,2025-07-27 07:20:21.776562,0 days 00:01:23.492514,0.2,0.001,0.99,COMPLETE
14,14,40564.46722825661,2025-07-27 07:20:21.777578,2025-07-27 07:21:45.383764,0 days 00:01:23.606186,0.3,0.001,0.99,COMPLETE
15,15,58536.278709608516,2025-07-27 07:21:45.384117,2025-07-27 07:23:09.161678,0 days 00:01:23.777561,0.2,0.001,0.99,COMPLETE
16,16,58536.278709608516,2025-07-27 07:23:09.162652,2025-07-27 07:24:32.738143,0 days 00:01:23.575491,0.2,0.001,0.99,COMPLETE
17,17,39221.9096810204,2025-07-27 07:24:32.738501,2025-07-27 07:25:35.461673,0 days 00:01:02.723172,0.2,1e-05,0.9999,COMPLETE
18,18,40564.46722825661,2025-07-27 07:25:35.462574,2025-07-27 07:26:58.837255,0 days 00:01:23.374681,0.3,0.001,0.99,COMPLETE
19,19,40564.46722825661,2025-07-27 07:26:58.837781,2025-07-27 07:28:16.842411,0 days 00:01:18.004630,0.1,0.001,0.99,COMPLETE
