,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,7899.485854284509,2025-07-27 08:05:09.238041,2025-07-27 08:06:20.636650,0 days 00:01:11.398609,0.2,0.01,0.999,COMPLETE
1,1,28979.848665397545,2025-07-27 08:06:20.636983,2025-07-27 08:08:12.939468,0 days 00:01:52.302485,0.3,0.001,0.99,COMPLETE
2,2,7899.485854284509,2025-07-27 08:08:12.940214,2025-07-27 08:09:15.170611,0 days 00:01:02.230397,0.3,1e-05,0.9999,COMPLETE
3,3,5793.00052334572,2025-07-27 08:09:15.170963,2025-07-27 08:10:38.780328,0 days 00:01:23.609365,0.3,0.01,0.99,COMPLETE
4,4,8100.620875638106,2025-07-27 08:10:38.781217,2025-07-27 08:11:51.495089,0 days 00:01:12.713872,0.2,1e-05,0.999,COMPLETE
5,5,7899.485854284509,2025-07-27 08:11:51.495482,2025-07-27 08:12:58.520709,0 days 00:01:07.025227,0.2,0.001,0.999,COMPLETE
6,6,1934.5135914522195,2025-07-27 08:12:58.521209,2025-07-27 08:14:59.247079,0 days 00:02:00.725870,0.2,0.01,0.99,COMPLETE
7,7,7899.485854284509,2025-07-27 08:14:59.247928,2025-07-27 08:16:01.868745,0 days 00:01:02.620817,0.2,0.01,0.9999,COMPLETE
8,8,7899.485854284509,2025-07-27 08:16:01.869129,2025-07-27 08:17:11.464439,0 days 00:01:09.595310,0.3,0.001,0.999,COMPLETE
9,9,1934.5135914522195,2025-07-27 08:17:11.465328,2025-07-27 08:18:51.038309,0 days 00:01:39.572981,0.1,0.001,0.99,COMPLETE
10,10,1934.5135914522195,2025-07-27 08:18:51.038837,2025-07-27 08:20:30.870908,0 days 00:01:39.832071,0.1,0.001,0.99,COMPLETE
11,11,7899.485854284509,2025-07-27 08:20:30.871698,2025-07-27 08:21:35.468254,0 days 00:01:04.596556,0.3,1e-05,0.999,COMPLETE
12,12,10896.706869791735,2025-07-27 08:21:35.468608,2025-07-27 08:22:59.026346,0 days 00:01:23.557738,0.3,1e-05,0.99,COMPLETE
13,13,10896.706869791735,2025-07-27 08:22:59.027157,2025-07-27 08:24:22.555691,0 days 00:01:23.528534,0.3,1e-05,0.99,COMPLETE
14,14,28979.848665397545,2025-07-27 08:24:22.556511,2025-07-27 08:26:14.804674,0 days 00:01:52.248163,0.3,0.001,0.99,COMPLETE
15,15,28979.848665397545,2025-07-27 08:26:14.805526,2025-07-27 08:28:06.775640,0 days 00:01:51.970114,0.3,0.001,0.99,COMPLETE
16,16,28979.848665397545,2025-07-27 08:28:06.776496,2025-07-27 08:29:59.382225,0 days 00:01:52.605729,0.3,0.001,0.99,COMPLETE
17,17,7899.485854284509,2025-07-27 08:29:59.383093,2025-07-27 08:30:58.177585,0 days 00:00:58.794492,0.1,0.001,0.9999,COMPLETE
18,18,28979.848665397545,2025-07-27 08:30:58.177945,2025-07-27 08:32:50.406915,0 days 00:01:52.228970,0.3,0.001,0.99,COMPLETE
19,19,28979.848665397545,2025-07-27 08:32:50.407722,2025-07-27 08:34:42.720327,0 days 00:01:52.312605,0.3,0.001,0.99,COMPLETE
