,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-956.9805568172043,2025-07-27 08:40:00.988999,2025-07-27 08:41:09.664634,0 days 00:01:08.675635,"[0, 10, 20, 30]",tanh,"[256, 128, 64]",0.0003,COMPLETE
1,1,4369.040832737001,2025-07-27 08:41:09.665441,2025-07-27 08:41:57.035057,0 days 00:00:47.369616,"[0, 30, 60, 90]",tanh,"[32, 32]",0.0001,COMPLETE
2,2,2587.312323820447,2025-07-27 08:41:57.036802,2025-07-27 08:43:28.858113,0 days 00:01:31.821311,"[0, 50, 100, 150]",tanh,"[256, 128]",0.001,COMPLETE
3,3,683.9944247519862,2025-07-27 08:43:28.858989,2025-07-27 08:44:53.778244,0 days 00:01:24.919255,"[0, 30, 60, 90]",relu,"[64, 64]",0.001,COMPLETE
4,4,683.9944247519862,2025-07-27 08:44:53.778799,2025-07-27 08:46:24.791690,0 days 00:01:31.012891,"[0, 30, 60, 90]",relu,"[64, 32]",0.0001,COMPLETE
5,5,-14980.420927595755,2025-07-27 08:46:24.792582,2025-07-27 08:47:38.793750,0 days 00:01:14.001168,"[0, 10, 20, 30]",relu,"[128, 64, 32]",0.0003,COMPLETE
6,6,36604.5637943487,2025-07-27 08:47:38.794143,2025-07-27 08:49:18.173441,0 days 00:01:39.379298,"[0, 30, 60, 90]",relu,"[32, 32]",0.001,COMPLETE
7,7,-1789.0395219872878,2025-07-27 08:49:18.174268,2025-07-27 08:50:37.167156,0 days 00:01:18.992888,"[0, 10, 20, 30]",tanh,"[256, 128]",0.0001,COMPLETE
8,8,-641.2464187607633,2025-07-27 08:50:37.167562,2025-07-27 08:52:48.329866,0 days 00:02:11.162304,"[0, 5, 10, 15, 20]",tanh,"[64, 64]",0.0001,COMPLETE
9,9,8082.542185306103,2025-07-27 08:52:48.330865,2025-07-27 08:55:41.512295,0 days 00:02:53.181430,"[0, 50, 100, 150]",relu,"[64, 32]",0.001,COMPLETE
10,10,-42940.434632872886,2025-07-27 08:55:41.513164,2025-07-27 08:56:40.232321,0 days 00:00:58.719157,"[0, 5, 10, 15, 20]",relu,"[32, 32]",0.001,COMPLETE
11,11,5110.3891454072145,2025-07-27 08:56:40.232712,2025-07-27 08:58:07.454935,0 days 00:01:27.222223,"[0, 50, 100, 150]",relu,"[128, 64]",0.001,COMPLETE
12,12,8082.542185306103,2025-07-27 08:58:07.455764,2025-07-27 09:01:00.950532,0 days 00:02:53.494768,"[0, 50, 100, 150]",relu,"[64, 32]",0.001,COMPLETE
13,13,683.9944247519862,2025-07-27 09:01:00.951497,2025-07-27 09:02:32.151666,0 days 00:01:31.200169,"[0, 30, 60, 90]",relu,"[128, 128]",0.001,COMPLETE
14,14,8082.542185306103,2025-07-27 09:02:32.152046,2025-07-27 09:05:25.744712,0 days 00:02:53.592666,"[0, 50, 100, 150]",relu,"[64, 32]",0.001,COMPLETE
15,15,36604.5637943487,2025-07-27 09:05:25.745723,2025-07-27 09:07:04.795585,0 days 00:01:39.049862,"[0, 30, 60, 90]",relu,"[32, 32]",0.001,COMPLETE
16,16,3415.9405418025926,2025-07-27 09:07:04.796425,2025-07-27 09:08:30.840177,0 days 00:01:26.043752,"[0, 30, 60, 90]",relu,"[32, 32]",0.0003,COMPLETE
17,17,36604.5637943487,2025-07-27 09:08:30.840581,2025-07-27 09:10:10.314867,0 days 00:01:39.474286,"[0, 30, 60, 90]",relu,"[32, 32]",0.001,COMPLETE
18,18,36604.5637943487,2025-07-27 09:10:10.315700,2025-07-27 09:11:49.831745,0 days 00:01:39.516045,"[0, 30, 60, 90]",relu,"[32, 32]",0.001,COMPLETE
19,19,683.9944247519862,2025-07-27 09:11:49.832139,2025-07-27 09:13:25.220878,0 days 00:01:35.388739,"[0, 30, 60, 90]",relu,"[128, 64, 32]",0.0003,COMPLETE
