,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,37274.97194263447,2025-07-27 01:38:46.506669,2025-07-27 01:39:18.004672,0 days 00:00:31.498003,0.2,0.01,0.999,COMPLETE
1,1,36147.82076800293,2025-07-27 01:39:18.005153,2025-07-27 01:39:49.163925,0 days 00:00:31.158772,0.3,1e-05,0.999,COMPLETE
2,2,1793.0455570073868,2025-07-27 01:39:49.164274,2025-07-27 01:41:19.918964,0 days 00:01:30.754690,0.2,0.01,0.99,COMPLETE
3,3,36107.53873269428,2025-07-27 01:41:19.919348,2025-07-27 01:41:51.039798,0 days 00:00:31.120450,0.1,0.001,0.999,COMPLETE
4,4,19833.047473166578,2025-07-27 01:41:51.040164,2025-07-27 01:43:30.261280,0 days 00:01:39.221116,0.2,1e-05,0.99,COMPLETE
5,5,19833.047473166578,2025-07-27 01:43:30.262142,2025-07-27 01:45:10.408766,0 days 00:01:40.146624,0.2,1e-05,0.99,COMPLETE
6,6,12176.588099812632,2025-07-27 01:45:10.409276,2025-07-27 01:45:47.249222,0 days 00:00:36.839946,0.1,1e-05,0.9999,COMPLETE
7,7,19802.992121689174,2025-07-27 01:45:47.249586,2025-07-27 01:47:26.663600,0 days 00:01:39.414014,0.2,0.001,0.99,COMPLETE
8,8,4637.138188312175,2025-07-27 01:47:26.664086,2025-07-27 01:49:06.474432,0 days 00:01:39.810346,0.1,0.001,0.99,COMPLETE
9,9,12176.588099812632,2025-07-27 01:49:06.483893,2025-07-27 01:49:43.354733,0 days 00:00:36.870840,0.2,0.001,0.9999,COMPLETE
10,10,37274.97194263447,2025-07-27 01:49:43.355105,2025-07-27 01:50:14.728933,0 days 00:00:31.373828,0.3,0.01,0.999,COMPLETE
11,11,37274.97194263447,2025-07-27 01:50:14.729272,2025-07-27 01:50:46.123879,0 days 00:00:31.394607,0.3,0.01,0.999,COMPLETE
12,12,37274.97194263447,2025-07-27 01:50:46.124225,2025-07-27 01:51:17.548771,0 days 00:00:31.424546,0.3,0.01,0.999,COMPLETE
13,13,37274.97194263447,2025-07-27 01:51:17.549110,2025-07-27 01:51:48.928663,0 days 00:00:31.379553,0.3,0.01,0.999,COMPLETE
14,14,37274.97194263447,2025-07-27 01:51:48.929012,2025-07-27 01:52:20.420570,0 days 00:00:31.491558,0.3,0.01,0.999,COMPLETE
15,15,37274.97194263447,2025-07-27 01:52:20.423123,2025-07-27 01:52:51.814643,0 days 00:00:31.391520,0.2,0.01,0.999,COMPLETE
16,16,37274.97194263447,2025-07-27 01:52:51.815008,2025-07-27 01:53:23.277554,0 days 00:00:31.462546,0.3,0.01,0.999,COMPLETE
17,17,12176.588099812632,2025-07-27 01:53:23.278051,2025-07-27 01:54:00.212448,0 days 00:00:36.934397,0.3,0.01,0.9999,COMPLETE
18,18,37274.97194263447,2025-07-27 01:54:00.212836,2025-07-27 01:54:31.509005,0 days 00:00:31.296169,0.2,0.01,0.999,COMPLETE
19,19,37274.97194263447,2025-07-27 01:54:31.509355,2025-07-27 01:55:02.967260,0 days 00:00:31.457905,0.1,0.01,0.999,COMPLETE
