,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,8710.182855675514,2025-07-27 01:59:34.828006,2025-07-27 02:01:28.301233,0 days 00:01:53.473227,"[0, 50, 100, 150]",tanh,"[64, 32]",0.001,COMPLETE
1,1,-494.41678965348547,2025-07-27 02:01:28.301990,2025-07-27 02:02:07.945212,0 days 00:00:39.643222,"[0, 5, 10, 15, 20]",tanh,"[256, 128, 64]",0.0001,COMPLETE
2,2,-159974.49164255025,2025-07-27 02:02:07.946058,2025-07-27 02:03:15.468408,0 days 00:01:07.522350,"[0, 5, 10, 15, 20]",relu,"[64, 64]",0.0001,COMPLETE
3,3,-897.016496928142,2025-07-27 02:03:15.469260,2025-07-27 02:03:53.256698,0 days 00:00:37.787438,"[0, 10, 20, 30]",relu,"[256, 128]",0.0003,COMPLETE
4,4,-814.2150455696718,2025-07-27 02:03:53.257225,2025-07-27 02:05:24.832570,0 days 00:01:31.575345,"[0, 50, 100, 150]",tanh,"[32, 32]",0.001,COMPLETE
5,5,-1927.5853928857096,2025-07-27 02:05:24.833114,2025-07-27 02:05:43.125086,0 days 00:00:18.291972,"[0, 10, 20, 30]",relu,"[128, 128]",0.001,COMPLETE
6,6,-1927.5853928857096,2025-07-27 02:05:43.125483,2025-07-27 02:06:01.388999,0 days 00:00:18.263516,"[0, 10, 20, 30]",relu,"[128, 128]",0.001,COMPLETE
7,7,-1659.8311256436152,2025-07-27 02:06:01.389397,2025-07-27 02:07:14.151439,0 days 00:01:12.762042,"[0, 30, 60, 90]",relu,"[64, 32]",0.001,COMPLETE
8,8,-813.8828604922813,2025-07-27 02:07:14.151814,2025-07-27 02:07:30.981838,0 days 00:00:16.830024,"[0, 5, 10, 15, 20]",relu,"[256, 128]",0.0001,COMPLETE
9,9,-8831.785488414098,2025-07-27 02:07:30.982232,2025-07-27 02:09:02.968666,0 days 00:01:31.986434,"[0, 30, 60, 90]",relu,"[256, 128]",0.0001,COMPLETE
10,10,-3549.420181701978,2025-07-27 02:09:02.969670,2025-07-27 02:10:44.136278,0 days 00:01:41.166608,"[0, 50, 100, 150]",tanh,"[128, 64, 32]",0.0003,COMPLETE
11,11,-494.41678965348547,2025-07-27 02:10:44.136681,2025-07-27 02:11:23.452294,0 days 00:00:39.315613,"[0, 5, 10, 15, 20]",tanh,"[256, 128, 64]",0.0001,COMPLETE
12,12,-4316.99929699653,2025-07-27 02:11:23.452692,2025-07-27 02:14:07.744460,0 days 00:02:44.291768,"[0, 50, 100, 150]",tanh,"[256, 128, 64]",0.001,COMPLETE
13,13,-2574.9464571427034,2025-07-27 02:14:07.745381,2025-07-27 02:15:50.523933,0 days 00:01:42.778552,"[0, 50, 100, 150]",tanh,"[64, 32]",0.0001,COMPLETE
14,14,-212729.9364083081,2025-07-27 02:15:50.524325,2025-07-27 02:17:17.466403,0 days 00:01:26.942078,"[0, 5, 10, 15, 20]",tanh,"[128, 64]",0.0003,COMPLETE
15,15,-4316.99929699653,2025-07-27 02:17:17.467243,2025-07-27 02:20:01.125490,0 days 00:02:43.658247,"[0, 50, 100, 150]",tanh,"[256, 128, 64]",0.001,COMPLETE
16,16,-901.2086423619434,2025-07-27 02:20:01.126453,2025-07-27 02:20:51.598882,0 days 00:00:50.472429,"[0, 5, 10, 15, 20]",tanh,"[64, 32]",0.0001,COMPLETE
17,17,-331.42311600965303,2025-07-27 02:20:51.599274,2025-07-27 02:21:54.260776,0 days 00:01:02.661502,"[0, 30, 60, 90]",tanh,"[32, 32]",0.0001,COMPLETE
18,18,-8831.785488414098,2025-07-27 02:21:54.261154,2025-07-27 02:23:54.995349,0 days 00:02:00.734195,"[0, 30, 60, 90]",tanh,"[32, 32]",0.001,COMPLETE
19,19,-4602.353077510551,2025-07-27 02:23:54.996309,2025-07-27 02:24:55.106515,0 days 00:01:00.110206,"[0, 30, 60, 90]",tanh,"[32, 32]",0.0003,COMPLETE
