,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-2175.3455349256346,2025-07-27 06:37:01.679277,2025-07-27 06:37:23.758837,0 days 00:00:22.079560,"[0, 5, 10, 15, 20]",tanh,"[64, 64]",0.001,COMPLETE
1,1,40564.46722825661,2025-07-27 06:37:23.759265,2025-07-27 06:38:46.282373,0 days 00:01:22.523108,"[0, 10, 20, 30]",relu,"[64, 32]",0.001,COMPLETE
2,2,4992.157046256399,2025-07-27 06:38:46.283221,2025-07-27 06:39:10.086115,0 days 00:00:23.802894,"[0, 5, 10, 15, 20]",tanh,"[128, 128]",0.0001,COMPLETE
3,3,34018.16724681367,2025-07-27 06:39:10.086629,2025-07-27 06:40:49.960390,0 days 00:01:39.873761,"[0, 30, 60, 90]",tanh,"[256, 128]",0.0003,COMPLETE
4,4,25051.941361802146,2025-07-27 06:40:49.961343,2025-07-27 06:43:08.702873,0 days 00:02:18.741530,"[0, 50, 100, 150]",relu,"[32, 32]",0.0003,COMPLETE
5,5,1228.614571488636,2025-07-27 06:43:08.703820,2025-07-27 06:43:54.229271,0 days 00:00:45.525451,"[0, 30, 60, 90]",relu,"[128, 64]",0.001,COMPLETE
6,6,34217.814637057345,2025-07-27 06:43:54.229645,2025-07-27 06:47:34.209666,0 days 00:03:39.980021,"[0, 30, 60, 90]",tanh,"[128, 128]",0.0003,COMPLETE
7,7,-3795.578263843303,2025-07-27 06:47:34.210649,2025-07-27 06:48:28.558043,0 days 00:00:54.347394,"[0, 10, 20, 30]",relu,"[256, 128]",0.0001,COMPLETE
8,8,-1491.1354608953623,2025-07-27 06:48:28.558604,2025-07-27 06:48:49.770898,0 days 00:00:21.212294,"[0, 5, 10, 15, 20]",tanh,"[64, 32]",0.001,COMPLETE
9,9,40564.46722825661,2025-07-27 06:48:49.771268,2025-07-27 06:50:13.403832,0 days 00:01:23.632564,"[0, 10, 20, 30]",relu,"[128, 64]",0.001,COMPLETE
10,10,40564.46722825661,2025-07-27 06:50:13.404261,2025-07-27 06:51:35.721804,0 days 00:01:22.317543,"[0, 10, 20, 30]",relu,"[64, 32]",0.001,COMPLETE
11,11,40564.46722825661,2025-07-27 06:51:35.722304,2025-07-27 06:52:59.434587,0 days 00:01:23.712283,"[0, 10, 20, 30]",relu,"[128, 64]",0.001,COMPLETE
12,12,40564.46722825661,2025-07-27 06:52:59.434973,2025-07-27 06:54:07.672196,0 days 00:01:08.237223,"[0, 10, 20, 30]",relu,"[256, 128, 64]",0.001,COMPLETE
13,13,29576.158257548606,2025-07-27 06:54:07.673047,2025-07-27 06:54:36.412629,0 days 00:00:28.739582,"[0, 10, 20, 30]",relu,"[128, 64, 32]",0.001,COMPLETE
14,14,1580.8503087695417,2025-07-27 06:54:36.413031,2025-07-27 06:55:56.642346,0 days 00:01:20.229315,"[0, 50, 100, 150]",relu,"[128, 64]",0.001,COMPLETE
15,15,-274.8139086776286,2025-07-27 06:55:56.642729,2025-07-27 06:57:21.270266,0 days 00:01:24.627537,"[0, 10, 20, 30]",relu,"[64, 32]",0.0001,COMPLETE
16,16,40564.46722825661,2025-07-27 06:57:21.271190,2025-07-27 06:57:49.376993,0 days 00:00:28.105803,"[0, 10, 20, 30]",relu,"[64, 64]",0.001,COMPLETE
17,17,40564.46722825661,2025-07-27 06:57:49.377377,2025-07-27 06:58:35.588015,0 days 00:00:46.210638,"[0, 10, 20, 30]",relu,"[32, 32]",0.001,COMPLETE
18,18,2341.2775024689186,2025-07-27 06:58:35.588959,2025-07-27 07:00:40.932524,0 days 00:02:05.343565,"[0, 50, 100, 150]",relu,"[128, 64, 32]",0.0001,COMPLETE
19,19,5491.248477740772,2025-07-27 07:00:40.949197,2025-07-27 07:01:24.127763,0 days 00:00:43.178566,"[0, 10, 20, 30]",relu,"[256, 128, 64]",0.0003,COMPLETE
