,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-133154.54713633898,2025-07-27 01:18:08.594465,2025-07-27 01:19:04.094437,0 days 00:00:55.499972,"[0, 10, 20, 30]",tanh,"[64, 32]",0.0001,COMPLETE
1,1,2082.5860959984525,2025-07-27 01:19:04.095216,2025-07-27 01:20:01.049799,0 days 00:00:56.954583,"[0, 30, 60, 90]",relu,"[256, 128, 64]",0.0001,COMPLETE
2,2,23840.234326394504,2025-07-27 01:20:01.050649,2025-07-27 01:21:21.255612,0 days 00:01:20.204963,"[0, 50, 100, 150]",tanh,"[128, 64]",0.0001,COMPLETE
3,3,-292215.9514370482,2025-07-27 01:21:21.257274,2025-07-27 01:23:08.767953,0 days 00:01:47.510679,"[0, 5, 10, 15, 20]",tanh,"[32, 32]",0.0003,COMPLETE
4,4,6472.611934865924,2025-07-27 01:23:08.768891,2025-07-27 01:24:12.286474,0 days 00:01:03.517583,"[0, 50, 100, 150]",tanh,"[64, 32]",0.0001,COMPLETE
5,5,-2977.234803245708,2025-07-27 01:24:12.287485,2025-07-27 01:25:25.212179,0 days 00:01:12.924694,"[0, 50, 100, 150]",tanh,"[128, 64, 32]",0.0001,COMPLETE
6,6,-294194.2807192165,2025-07-27 01:25:25.212588,2025-07-27 01:26:49.495639,0 days 00:01:24.283051,"[0, 5, 10, 15, 20]",tanh,"[128, 128]",0.0001,COMPLETE
7,7,-100651.68108103253,2025-07-27 01:26:49.496046,2025-07-27 01:27:42.206587,0 days 00:00:52.710541,"[0, 5, 10, 15, 20]",tanh,"[128, 64, 32]",0.001,COMPLETE
8,8,-294194.2807192165,2025-07-27 01:27:42.207456,2025-07-27 01:29:08.642535,0 days 00:01:26.435079,"[0, 5, 10, 15, 20]",relu,"[256, 128, 64]",0.001,COMPLETE
9,9,457.20559316412346,2025-07-27 01:29:08.643475,2025-07-27 01:30:18.304724,0 days 00:01:09.661249,"[0, 50, 100, 150]",tanh,"[128, 64, 32]",0.001,COMPLETE
10,10,-387467.01233017666,2025-07-27 01:30:18.305149,2025-07-27 01:30:57.989062,0 days 00:00:39.683913,"[0, 10, 20, 30]",relu,"[128, 64]",0.0003,COMPLETE
11,11,23840.234326394504,2025-07-27 01:30:57.989606,2025-07-27 01:32:15.909574,0 days 00:01:17.919968,"[0, 50, 100, 150]",tanh,"[128, 64]",0.0001,COMPLETE
12,12,23840.234326394504,2025-07-27 01:32:15.909963,2025-07-27 01:33:31.562357,0 days 00:01:15.652394,"[0, 50, 100, 150]",tanh,"[128, 64]",0.0001,COMPLETE
13,13,36147.82076800293,2025-07-27 01:33:31.563280,2025-07-27 01:34:02.827174,0 days 00:00:31.263894,"[0, 50, 100, 150]",tanh,"[64, 64]",0.0001,COMPLETE
14,14,471.39519226065335,2025-07-27 01:34:02.827632,2025-07-27 01:34:32.385263,0 days 00:00:29.557631,"[0, 30, 60, 90]",relu,"[64, 64]",0.0001,COMPLETE
15,15,-577.1690406135524,2025-07-27 01:34:32.385624,2025-07-27 01:35:24.844341,0 days 00:00:52.458717,"[0, 50, 100, 150]",tanh,"[64, 64]",0.0003,COMPLETE
16,16,17752.136608897952,2025-07-27 01:35:24.844836,2025-07-27 01:37:10.107017,0 days 00:01:45.262181,"[0, 50, 100, 150]",tanh,"[256, 128]",0.0001,COMPLETE
17,17,36147.82076800293,2025-07-27 01:37:10.107398,2025-07-27 01:37:41.247008,0 days 00:00:31.139610,"[0, 50, 100, 150]",tanh,"[64, 64]",0.0001,COMPLETE
18,18,-1371.442626276564,2025-07-27 01:37:41.247486,2025-07-27 01:38:22.723085,0 days 00:00:41.475599,"[0, 30, 60, 90]",relu,"[64, 64]",0.0003,COMPLETE
19,19,-133154.54713633898,2025-07-27 01:38:22.723493,2025-07-27 01:38:46.498704,0 days 00:00:23.775211,"[0, 10, 20, 30]",tanh,"[64, 64]",0.001,COMPLETE
