,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,11375.13121823765,2025-07-27 03:31:44.880864,2025-07-27 03:34:07.474626,0 days 00:02:22.593762,0.2,0.01,0.99,COMPLETE
1,1,10943.282352758264,2025-07-27 03:34:07.475326,2025-07-27 03:35:39.370089,0 days 00:01:31.894763,0.3,0.01,0.9999,COMPLETE
2,2,12555.820341964549,2025-07-27 03:35:39.370617,2025-07-27 03:37:19.525478,0 days 00:01:40.154861,0.2,0.01,0.999,COMPLETE
3,3,10906.792808813014,2025-07-27 03:37:19.526288,2025-07-27 03:39:07.338332,0 days 00:01:47.812044,0.2,1e-05,0.9999,COMPLETE
4,4,12555.820341964549,2025-07-27 03:39:07.339202,2025-07-27 03:40:47.478742,0 days 00:01:40.139540,0.2,0.01,0.999,COMPLETE
5,5,12399.709441126777,2025-07-27 03:40:47.479735,2025-07-27 03:42:19.268181,0 days 00:01:31.788446,0.3,1e-05,0.99,COMPLETE
6,6,-3359.3570507804457,2025-07-27 03:42:19.269207,2025-07-27 03:43:50.119505,0 days 00:01:30.850298,0.2,0.001,0.99,COMPLETE
7,7,-4044.892215168509,2025-07-27 03:43:50.120501,2025-07-27 03:45:30.986901,0 days 00:01:40.866400,0.1,1e-05,0.9999,COMPLETE
8,8,7484.302885721566,2025-07-27 03:45:30.987938,2025-07-27 03:47:02.422709,0 days 00:01:31.434771,0.3,0.01,0.99,COMPLETE
9,9,13565.186037137768,2025-07-27 03:47:02.423630,2025-07-27 03:49:01.127023,0 days 00:01:58.703393,0.3,0.001,0.99,COMPLETE
10,10,-3982.285075569249,2025-07-27 03:49:01.127743,2025-07-27 03:50:31.178455,0 days 00:01:30.050712,0.1,0.001,0.99,COMPLETE
11,11,12555.820341964549,2025-07-27 03:50:31.179353,2025-07-27 03:51:59.560334,0 days 00:01:28.380981,0.3,0.001,0.999,COMPLETE
12,12,8330.094868192804,2025-07-27 03:51:59.561288,2025-07-27 03:53:39.561456,0 days 00:01:40.000168,0.2,0.001,0.999,COMPLETE
13,13,8581.302744684235,2025-07-27 03:53:39.562493,2025-07-27 03:55:17.271195,0 days 00:01:37.708702,0.3,0.01,0.999,COMPLETE
14,14,9879.91995998157,2025-07-27 03:55:17.272144,2025-07-27 03:57:11.904263,0 days 00:01:54.632119,0.1,0.001,0.999,COMPLETE
15,15,11375.13121823765,2025-07-27 03:57:11.905165,2025-07-27 03:59:34.260124,0 days 00:02:22.354959,0.2,0.01,0.99,COMPLETE
16,16,12555.820341964549,2025-07-27 03:59:34.261091,2025-07-27 04:01:02.930792,0 days 00:01:28.669701,0.3,0.001,0.999,COMPLETE
17,17,11375.13121823765,2025-07-27 04:01:02.931684,2025-07-27 04:03:25.188928,0 days 00:02:22.257244,0.2,0.01,0.99,COMPLETE
18,18,12555.820341964549,2025-07-27 04:03:25.189807,2025-07-27 04:04:53.554442,0 days 00:01:28.364635,0.3,0.001,0.999,COMPLETE
19,19,-4044.892215168509,2025-07-27 04:04:53.555342,2025-07-27 04:06:33.922736,0 days 00:01:40.367394,0.1,1e-05,0.9999,COMPLETE
