,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-3894.0181533818827,2025-07-27 05:48:49.131210,2025-07-27 05:49:45.924205,0 days 00:00:56.792995,"[0, 10, 20, 30]",relu,"[256, 128]",0.0003,COMPLETE
1,1,-4085.0547919595615,2025-07-27 05:49:45.924960,2025-07-27 05:50:53.317453,0 days 00:01:07.392493,"[0, 30, 60, 90]",tanh,"[256, 128, 64]",0.0001,COMPLETE
2,2,-3894.0181533818827,2025-07-27 05:50:53.322477,2025-07-27 05:53:04.474545,0 days 00:02:11.152068,"[0, 10, 20, 30]",relu,"[128, 64]",0.0001,COMPLETE
3,3,-3894.0181533818827,2025-07-27 05:53:04.475403,2025-07-27 05:54:23.255442,0 days 00:01:18.780039,"[0, 10, 20, 30]",relu,"[128, 128]",0.0001,COMPLETE
4,4,-3894.0181533818827,2025-07-27 05:54:23.256410,2025-07-27 05:55:35.815594,0 days 00:01:12.559184,"[0, 10, 20, 30]",relu,"[128, 64, 32]",0.0003,COMPLETE
5,5,-3549.787816262868,2025-07-27 05:55:35.815978,2025-07-27 05:56:39.306460,0 days 00:01:03.490482,"[0, 30, 60, 90]",relu,"[64, 64]",0.0003,COMPLETE
6,6,-533.8242789308853,2025-07-27 05:56:39.307200,2025-07-27 05:58:00.200205,0 days 00:01:20.893005,"[0, 50, 100, 150]",relu,"[128, 128]",0.0001,COMPLETE
7,7,-3083.336330867107,2025-07-27 05:58:00.201962,2025-07-27 05:59:34.699612,0 days 00:01:34.497650,"[0, 50, 100, 150]",tanh,"[256, 128, 64]",0.0001,COMPLETE
8,8,-41019.486572132955,2025-07-27 05:59:34.700508,2025-07-27 06:00:06.707034,0 days 00:00:32.006526,"[0, 5, 10, 15, 20]",tanh,"[128, 64]",0.001,COMPLETE
9,9,-3894.0181533818827,2025-07-27 06:00:06.707427,2025-07-27 06:00:43.254520,0 days 00:00:36.547093,"[0, 10, 20, 30]",relu,"[64, 32]",0.0001,COMPLETE
10,10,421.2479044348111,2025-07-27 06:00:43.254916,2025-07-27 06:02:10.016477,0 days 00:01:26.761561,"[0, 50, 100, 150]",tanh,"[128, 128]",0.001,COMPLETE
11,11,421.2479044348111,2025-07-27 06:02:10.017151,2025-07-27 06:03:36.905848,0 days 00:01:26.888697,"[0, 50, 100, 150]",tanh,"[128, 128]",0.001,COMPLETE
12,12,421.2479044348111,2025-07-27 06:03:36.906679,2025-07-27 06:05:03.422223,0 days 00:01:26.515544,"[0, 50, 100, 150]",tanh,"[128, 128]",0.001,COMPLETE
13,13,-2318.3262454872465,2025-07-27 06:05:03.423130,2025-07-27 06:06:52.951202,0 days 00:01:49.528072,"[0, 50, 100, 150]",tanh,"[32, 32]",0.001,COMPLETE
14,14,421.2479044348111,2025-07-27 06:06:52.951620,2025-07-27 06:08:19.891382,0 days 00:01:26.939762,"[0, 50, 100, 150]",tanh,"[128, 128]",0.001,COMPLETE
15,15,-41019.486572132955,2025-07-27 06:08:19.907838,2025-07-27 06:09:28.254913,0 days 00:01:08.347075,"[0, 5, 10, 15, 20]",tanh,"[128, 128]",0.001,COMPLETE
16,16,100.24987112588161,2025-07-27 06:09:28.255843,2025-07-27 06:10:56.831772,0 days 00:01:28.575929,"[0, 50, 100, 150]",tanh,"[64, 64]",0.001,COMPLETE
17,17,5744.13282229892,2025-07-27 06:10:56.832618,2025-07-27 06:12:12.622029,0 days 00:01:15.789411,"[0, 50, 100, 150]",tanh,"[64, 32]",0.001,COMPLETE
18,18,5744.13282229892,2025-07-27 06:12:12.622717,2025-07-27 06:13:28.713266,0 days 00:01:16.090549,"[0, 50, 100, 150]",tanh,"[64, 32]",0.001,COMPLETE
19,19,16415.698148399373,2025-07-27 06:13:28.713815,2025-07-27 06:14:42.920242,0 days 00:01:14.206427,"[0, 30, 60, 90]",tanh,"[64, 32]",0.001,COMPLETE
