,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,8521.28481562315,2025-07-27 00:42:29.522338,2025-07-27 00:42:51.443632,0 days 00:00:21.921294,"[0, 10, 20, 30]",relu,"[256, 128]",0.0001,COMPLETE
1,1,-34076.15277107322,2025-07-27 00:42:51.444992,2025-07-27 00:43:33.796759,0 days 00:00:42.351767,"[0, 10, 20, 30]",tanh,"[32, 32]",0.0003,COMPLETE
2,2,6250.456092444506,2025-07-27 00:43:33.797405,2025-07-27 00:44:42.603273,0 days 00:01:08.805868,"[0, 30, 60, 90]",tanh,"[32, 32]",0.0001,COMPLETE
3,3,54929.42655342116,2025-07-27 00:44:42.604480,2025-07-27 00:45:06.893686,0 days 00:00:24.289206,"[0, 5, 10, 15, 20]",tanh,"[128, 64, 32]",0.001,COMPLETE
4,4,15134.817278154032,2025-07-27 00:45:06.894600,2025-07-27 00:46:46.982481,0 days 00:01:40.087881,"[0, 50, 100, 150]",tanh,"[128, 64]",0.0003,COMPLETE
5,5,1874.02259611475,2025-07-27 00:46:46.983456,2025-07-27 00:48:01.291083,0 days 00:01:14.307627,"[0, 50, 100, 150]",relu,"[128, 64]",0.001,COMPLETE
6,6,-11654.309886015599,2025-07-27 00:48:01.292664,2025-07-27 00:48:34.354694,0 days 00:00:33.062030,"[0, 30, 60, 90]",tanh,"[64, 32]",0.0003,COMPLETE
7,7,40501.51518837348,2025-07-27 00:48:34.355525,2025-07-27 00:48:47.782021,0 days 00:00:13.426496,"[0, 5, 10, 15, 20]",tanh,"[128, 64]",0.0001,COMPLETE
8,8,12892.925682708057,2025-07-27 00:48:47.782471,2025-07-27 00:49:08.224731,0 days 00:00:20.442260,"[0, 5, 10, 15, 20]",relu,"[256, 128]",0.0003,COMPLETE
9,9,18926.1439856727,2025-07-27 00:49:08.225185,2025-07-27 00:51:03.881385,0 days 00:01:55.656200,"[0, 50, 100, 150]",relu,"[128, 64, 32]",0.0003,COMPLETE
10,10,54929.42655342116,2025-07-27 00:51:03.882349,2025-07-27 00:51:27.828736,0 days 00:00:23.946387,"[0, 5, 10, 15, 20]",tanh,"[128, 64, 32]",0.001,COMPLETE
11,11,54929.42655342116,2025-07-27 00:51:27.829221,2025-07-27 00:51:51.860919,0 days 00:00:24.031698,"[0, 5, 10, 15, 20]",tanh,"[128, 64, 32]",0.001,COMPLETE
12,12,54929.42655342116,2025-07-27 00:51:51.861361,2025-07-27 00:52:15.887183,0 days 00:00:24.025822,"[0, 5, 10, 15, 20]",tanh,"[128, 64, 32]",0.001,COMPLETE
13,13,13280.343011121578,2025-07-27 00:52:15.888294,2025-07-27 00:52:46.484680,0 days 00:00:30.596386,"[0, 5, 10, 15, 20]",tanh,"[128, 128]",0.001,COMPLETE
14,14,-16250.937597660044,2025-07-27 00:52:46.485102,2025-07-27 00:53:07.546707,0 days 00:00:21.061605,"[0, 5, 10, 15, 20]",tanh,"[64, 64]",0.001,COMPLETE
15,15,-20889.112938056678,2025-07-27 00:53:07.547719,2025-07-27 00:53:50.623425,0 days 00:00:43.075706,"[0, 5, 10, 15, 20]",tanh,"[256, 128, 64]",0.001,COMPLETE
16,16,54929.42655342116,2025-07-27 00:53:50.623854,2025-07-27 00:54:14.792647,0 days 00:00:24.168793,"[0, 5, 10, 15, 20]",tanh,"[128, 64, 32]",0.001,COMPLETE
17,17,-66626.20147266441,2025-07-27 00:54:14.793743,2025-07-27 00:55:53.176418,0 days 00:01:38.382675,"[0, 10, 20, 30]",tanh,"[128, 64, 32]",0.001,COMPLETE
18,18,-2676.406173052727,2025-07-27 00:55:53.177383,2025-07-27 00:56:27.137349,0 days 00:00:33.959966,"[0, 30, 60, 90]",relu,"[128, 128]",0.001,COMPLETE
19,19,-20889.112938056678,2025-07-27 00:56:27.137764,2025-07-27 00:57:08.293124,0 days 00:00:41.155360,"[0, 5, 10, 15, 20]",tanh,"[256, 128, 64]",0.001,COMPLETE
