,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,4570.614835458968,2025-07-26 15:49:30.018471,2025-07-26 15:50:35.487402,0 days 00:01:05.468931,"[0, 50, 100]",relu,"[10, 8]",0.001,COMPLETE
1,1,4321.43608312727,2025-07-26 15:50:35.488919,2025-07-26 15:50:59.449411,0 days 00:00:23.960492,"[0, 50, 100]",sigmoid,"[10, 8]",0.0001,COMPLETE
2,2,-16458.971169826065,2025-07-26 15:50:59.450062,2025-07-26 15:51:12.653325,0 days 00:00:13.203263,"[0, 10, 15, 20]",tanh,"[8, 8]",0.0001,COMPLETE
3,3,-21818.01315207987,2025-07-26 15:51:12.653948,2025-07-26 15:51:59.890353,0 days 00:00:47.236405,"[0, 25, 50]",relu,"[8, 8]",0.01,COMPLETE
4,4,16870.103741836556,2025-07-26 15:51:59.890817,2025-07-26 15:52:23.451598,0 days 00:00:23.560781,"[0, 45, 50, 55]",relu,"[8, 8]",0.01,COMPLETE
