,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,4702.652611204748,2025-07-26 12:33:11.491265,2025-07-26 12:33:59.909408,0 days 00:00:48.418143,"[0, 10, 15, 20]",relu,"[6, 6, 6]",0.001,COMPLETE
1,1,-3894.0181533818827,2025-07-26 12:33:59.910169,2025-07-26 12:34:20.845640,0 days 00:00:20.935471,"[0, 10, 20, 30]",sigmoid,"[10, 8]",0.0001,COMPLETE
2,2,2427.074467264824,2025-07-26 12:34:20.847635,2025-07-26 12:35:02.109757,0 days 00:00:41.262122,"[0, 50, 100]",sigmoid,"[10, 4]",0.01,COMPLETE
3,3,-3760.2059774431236,2025-07-26 12:35:02.112917,2025-07-26 12:35:17.979715,0 days 00:00:15.866798,"[0, 25, 50]",sigmoid,"[10, 4]",1e-05,COMPLETE
4,4,17278.29115031088,2025-07-26 12:35:17.980179,2025-07-26 12:35:34.241379,0 days 00:00:16.261200,"[0, 25, 50]",relu,"[6, 6, 6]",0.001,COMPLETE
