,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,1934.5135914522195,2025-07-26 12:47:25.536509,2025-07-26 12:48:19.985876,0 days 00:00:54.449367,"[0, 50, 100]",relu,"[4, 4]",1e-05,COMPLETE
1,1,1970.6545691917377,2025-07-26 12:48:19.986739,2025-07-26 12:49:13.924882,0 days 00:00:53.938143,"[0, 45, 50, 55]",tanh,"[10, 4]",0.0005,COMPLETE
2,2,25758.10185073455,2025-07-26 12:49:13.925915,2025-07-26 12:50:38.606606,0 days 00:01:24.680691,"[0, 45, 50, 55]",tanh,"[4, 2]",5e-05,COMPLETE
3,3,-943.1659518380002,2025-07-26 12:50:38.607387,2025-07-26 12:51:18.501725,0 days 00:00:39.894338,"[0, 10, 20, 30]",tanh,"[4, 2]",0.001,COMPLETE
4,4,2753.9912666365653,2025-07-26 12:51:18.502170,2025-07-26 12:53:07.947644,0 days 00:01:49.445474,"[0, 25, 50]",relu,"[4, 2]",0.01,COMPLETE
