,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,13221.32379740041,2025-07-26 12:15:49.885236,2025-07-26 12:16:27.204465,0 days 00:00:37.319229,0.3,0.001,0.9,COMPLETE
1,1,9110.121865365256,2025-07-26 12:16:27.205277,2025-07-26 12:17:03.574775,0 days 00:00:36.369498,0.1,0.01,0.9999,COMPLETE
2,2,14746.11686845743,2025-07-26 12:17:03.575852,2025-07-26 12:17:46.231174,0 days 00:00:42.655322,0.05,0.01,0.99,COMPLETE
3,3,9110.121865365256,2025-07-26 12:17:46.231560,2025-07-26 12:18:22.454844,0 days 00:00:36.223284,0.3,0.0001,0.9999,COMPLETE
4,4,16020.539721060524,2025-07-26 12:18:22.455791,2025-07-26 12:19:18.495291,0 days 00:00:56.039500,0.4,0.001,0.999,COMPLETE
