,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-38407.38258019429,2025-07-26 12:13:12.813931,2025-07-26 12:13:30.774527,0 days 00:00:17.960596,"[0, 10, 20, 30]",tanh,"[4, 4]",0.005,COMPLETE
1,1,-4447.7201425794965,2025-07-26 12:13:30.774937,2025-07-26 12:13:55.848001,0 days 00:00:25.073064,"[0, 45, 50, 55]",tanh,"[6, 2]",1e-05,COMPLETE
2,2,14746.11686845743,2025-07-26 12:13:55.848519,2025-07-26 12:14:40.398000,0 days 00:00:44.549481,"[0, 45, 50, 55]",tanh,"[10, 2]",0.0001,COMPLETE
3,3,-3106.9454549650927,2025-07-26 12:14:40.398822,2025-07-26 12:15:33.107357,0 days 00:00:52.708535,"[0, 50, 100]",sigmoid,"[6, 2]",0.0005,COMPLETE
4,4,-1624.2717386768759,2025-07-26 12:15:33.108413,2025-07-26 12:15:49.874934,0 days 00:00:16.766521,"[0, 10, 15, 20]",sigmoid,"[8, 2]",1e-05,COMPLETE
