,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,-284.5959902816167,2025-07-26 15:56:59.027007,2025-07-26 15:57:34.642976,0 days 00:00:35.615969,0.3,0.001,0.9999,COMPLETE
1,1,51.477125617116975,2025-07-26 15:57:34.643302,2025-07-26 15:58:11.557779,0 days 00:00:36.914477,0.4,0.01,0.9999,COMPLETE
2,2,4587.039591245093,2025-07-26 15:58:11.558483,2025-07-26 15:58:24.928154,0 days 00:00:13.369671,0.05,0.001,0.999,COMPLETE
3,3,-2341.9793769257903,2025-07-26 15:58:24.928496,2025-07-26 15:58:40.945404,0 days 00:00:16.016908,0.2,0.001,0.999,COMPLETE
4,4,-1207.5785746569838,2025-07-26 15:58:40.945763,2025-07-26 15:59:22.149782,0 days 00:00:41.204019,0.1,0.0001,0.9,COMPLETE
