,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,6064.702986085357,2025-07-26 12:53:07.958463,2025-07-26 12:53:46.834835,0 days 00:00:38.876372,0.2,0.01,0.999,COMPLETE
1,1,6029.606757395125,2025-07-26 12:53:46.835209,2025-07-26 12:54:15.162587,0 days 00:00:28.327378,0.1,0.001,0.99,COMPLETE
2,2,27964.0681395137,2025-07-26 12:54:15.163505,2025-07-26 12:55:57.268862,0 days 00:01:42.105357,0.3,0.01,0.9,COMPLETE
3,3,6075.732338374849,2025-07-26 12:55:57.269611,2025-07-26 12:56:24.214377,0 days 00:00:26.944766,0.2,0.01,0.9999,COMPLETE
4,4,27108.4536820766,2025-07-26 12:56:24.214791,2025-07-26 12:57:48.038851,0 days 00:01:23.824060,0.05,0.0001,0.9,COMPLETE
