feature,selected,ranking,importance
ew_sigma,True,1,0.9858312660230273
ma24,False,35,
ma168,False,7,
sma_20,False,33,
sma_50,False,30,
sma_100,False,19,
ema_5,False,43,
ema_12,False,34,
ema_26,False,41,
ema_50,False,23,
ema_100,False,2,
bb_upper,False,12,
bb_middle,False,42,
bb_lower,False,46,
bb_width_20,False,10,
bb_percent_20,False,11,
adxr,False,24,
dx,False,13,
rsi_7,False,26,
rsi_14,False,44,
rsi_21,False,39,
stoch_k_5,False,28,
stoch_d_5,False,36,
stoch_k_14,False,4,
stoch_d_14,False,18,
uo,False,5,
cmo_20,False,45,
atr_7,False,32,
atr_14,False,16,
atr_21,False,37,
stddev_20,False,3,
vix_proxy,False,20,
macd,False,29,
macd_signal,False,17,
macd_hist,False,14,
plus_di,False,22,
minus_di,False,8,
aroon_osc_25,False,25,
sar,False,38,
trix,False,9,
price_sma20_ratio,False,40,
price_ema12_ratio,False,15,
price_momentum_5,False,21,
price_momentum_10,False,31,
price_momentum_24,False,27,
ema_crossover,False,47,
chop_14,True,1,0.007173319014935438
bop,True,1,0.006995414962037308
cp_prob,False,6,
