feature,selected,ranking,importance
ew_sigma,True,1,0.9903975642579275
ma24,False,36,
ma168,False,9,
sma_20,False,42,
sma_50,False,39,
sma_100,False,35,
ema_5,False,46,
ema_12,False,45,
ema_26,False,43,
ema_50,False,44,
ema_100,False,28,
bb_upper,False,18,
bb_middle,False,41,
bb_lower,False,33,
bb_width_20,False,11,
bb_percent_20,False,13,
adxr,False,5,
dx,False,17,
rsi_7,False,8,
rsi_14,False,31,
rsi_21,False,37,
stoch_k_5,False,12,
stoch_d_5,False,30,
stoch_k_14,False,20,
stoch_d_14,False,34,
uo,False,26,
cmo_20,False,38,
atr_7,False,21,
atr_14,False,3,
atr_21,False,15,
stddev_20,True,1,0.005046306626102783
vix_proxy,False,19,
macd,False,40,
macd_signal,False,32,
macd_hist,False,27,
plus_di,False,10,
minus_di,False,6,
aroon_osc_25,False,16,
sar,False,24,
trix,False,14,
price_sma20_ratio,False,22,
price_ema12_ratio,False,29,
price_momentum_5,False,2,
price_momentum_10,False,25,
price_momentum_24,False,4,
ema_crossover,False,47,
chop_14,True,1,0.004556129115969685
bop,False,7,
cp_prob,False,23,
