feature,selected,ranking,importance
ew_sigma,True,1,0.9883932606316845
ma24,False,41,
ma168,False,13,
sma_20,False,36,
sma_50,False,26,
sma_100,False,22,
ema_5,False,4,
ema_12,False,40,
ema_26,False,37,
ema_50,False,43,
ema_100,False,31,
bb_upper,False,44,
bb_middle,False,30,
bb_lower,False,23,
bb_width_20,False,9,
bb_percent_20,False,18,
adxr,False,16,
dx,False,11,
rsi_7,False,6,
rsi_14,False,27,
rsi_21,False,38,
stoch_k_5,False,34,
stoch_d_5,False,14,
stoch_k_14,False,7,
stoch_d_14,False,29,
uo,False,21,
cmo_20,False,42,
atr_7,False,20,
atr_14,True,1,0.00377428155178962
atr_21,False,8,
stddev_20,False,5,
vix_proxy,False,25,
macd,False,39,
macd_signal,False,32,
macd_hist,False,33,
plus_di,True,1,0.002718989593844942
minus_di,True,1,0.0023992882084080446
aroon_osc_25,False,28,
sar,False,17,
trix,False,10,
price_sma20_ratio,False,24,
price_ema12_ratio,False,12,
price_momentum_5,False,3,
price_momentum_10,False,35,
price_momentum_24,False,15,
ema_crossover,False,45,
chop_14,False,2,
bop,True,1,0.002714180014272771
cp_prob,False,19,
