feature,selected,ranking,importance
ew_sigma,True,1,0.9878487079178438
ma24,False,29,
ma168,False,3,
sma_20,False,35,
sma_50,False,43,
sma_100,False,33,
ema_5,False,42,
ema_12,False,40,
ema_26,False,44,
ema_50,False,39,
ema_100,False,27,
bb_upper,False,25,
bb_middle,False,41,
bb_lower,False,17,
bb_width_20,False,8,
bb_percent_20,False,15,
adxr,True,1,0.004009704593624912
dx,False,21,
rsi_7,False,30,
rsi_14,False,45,
rsi_21,False,31,
stoch_k_5,False,34,
stoch_d_5,False,38,
stoch_k_14,False,9,
stoch_d_14,False,32,
uo,False,19,
cmo_20,False,36,
atr_7,False,28,
atr_14,False,20,
atr_21,False,4,
stddev_20,False,7,
vix_proxy,False,11,
macd,False,37,
macd_signal,False,5,
macd_hist,False,14,
plus_di,False,24,
minus_di,False,10,
aroon_osc_25,False,18,
sar,False,12,
trix,False,22,
price_sma20_ratio,False,6,
price_ema12_ratio,False,16,
price_momentum_5,True,1,0.003576546574597089
price_momentum_10,False,23,
price_momentum_24,False,26,
ema_crossover,False,46,
chop_14,True,1,0.00456504091393413
bop,False,2,
cp_prob,False,13,
