feature,selected,ranking,importance
ew_sigma,True,1,0.9770523840103204
ma24,False,28,
ma168,False,11,
sma_20,False,24,
sma_50,False,42,
sma_100,False,26,
ema_5,False,38,
ema_12,False,13,
ema_26,False,43,
ema_50,False,40,
ema_100,False,34,
bb_upper,False,18,
bb_middle,False,31,
bb_lower,False,44,
bb_width_20,False,6,
bb_percent_20,False,4,
adxr,False,10,
dx,False,9,
rsi_7,False,41,
rsi_14,False,30,
rsi_21,False,12,
stoch_k_5,False,45,
stoch_d_5,False,22,
stoch_k_14,False,33,
stoch_d_14,False,36,
uo,False,16,
cmo_20,False,25,
atr_7,False,17,
atr_14,False,27,
atr_21,False,8,
stddev_20,False,29,
vix_proxy,False,7,
macd,False,39,
macd_signal,True,1,0.010236300275951104
macd_hist,False,35,
plus_di,False,23,
minus_di,False,21,
aroon_osc_25,False,32,
sar,False,46,
trix,False,14,
price_sma20_ratio,False,19,
price_ema12_ratio,False,5,
price_momentum_5,False,15,
price_momentum_10,False,2,
price_momentum_24,False,20,
ema_crossover,False,47,
chop_14,False,3,
bop,False,37,
cp_prob,True,1,0.012711315713728487
