feature,selected,ranking,importance
ew_sigma,True,1,0.9835954817235684
ma24,False,20,
ma168,False,16,
sma_20,False,47,
sma_50,False,4,
sma_100,False,33,
ema_5,False,46,
ema_12,False,44,
ema_26,False,42,
ema_50,False,37,
ema_100,False,23,
bb_upper,False,39,
bb_middle,False,45,
bb_lower,False,43,
bb_width_20,False,12,
bb_percent_20,False,15,
adxr,False,8,
dx,False,19,
rsi_7,False,38,
rsi_14,False,11,
rsi_21,False,24,
stoch_k_5,False,9,
stoch_d_5,False,18,
stoch_k_14,False,2,
stoch_d_14,False,14,
uo,False,22,
cmo_20,True,1,0.008667189663354592
atr_7,False,36,
atr_14,False,27,
atr_21,False,35,
stddev_20,False,26,
vix_proxy,False,6,
macd,False,5,
macd_signal,False,31,
macd_hist,False,13,
plus_di,False,21,
minus_di,True,1,0.007737328613077109
aroon_osc_25,False,40,
sar,False,29,
trix,False,17,
price_sma20_ratio,False,41,
price_ema12_ratio,False,30,
price_momentum_5,False,25,
price_momentum_10,False,28,
price_momentum_24,False,3,
ema_crossover,False,34,
chop_14,False,7,
bop,False,32,
cp_prob,False,10,
