feature,selected,ranking,importance
ew_sigma,True,1,0.9754734664789053
ma24,False,41,
ma168,False,4,
sma_20,False,43,
sma_50,False,40,
sma_100,False,23,
ema_5,False,3,
ema_12,False,27,
ema_26,False,44,
ema_50,False,45,
ema_100,False,16,
bb_upper,False,9,
bb_middle,False,11,
bb_lower,False,37,
bb_width_20,True,1,0.01110284207083474
bb_percent_20,False,12,
adxr,False,7,
dx,True,1,0.013423691450259885
rsi_7,False,30,
rsi_14,False,32,
rsi_21,False,39,
stoch_k_5,False,42,
stoch_d_5,False,24,
stoch_k_14,False,28,
stoch_d_14,False,35,
uo,False,33,
cmo_20,False,38,
atr_7,False,29,
atr_14,False,36,
atr_21,False,34,
stddev_20,False,14,
vix_proxy,False,21,
macd,False,15,
macd_signal,False,2,
macd_hist,False,26,
plus_di,False,22,
minus_di,False,10,
aroon_osc_25,False,25,
sar,False,46,
trix,False,17,
price_sma20_ratio,False,18,
price_ema12_ratio,False,13,
price_momentum_5,False,8,
price_momentum_10,False,5,
price_momentum_24,False,19,
ema_crossover,False,47,
chop_14,False,20,
bop,False,31,
cp_prob,False,6,
