feature,selected,ranking,importance
ew_sigma,True,1,0.9873252222237836
ma24,False,8,
ma168,False,2,
sma_20,False,39,
sma_50,False,24,
sma_100,False,14,
ema_5,False,45,
ema_12,False,42,
ema_26,False,36,
ema_50,True,1,0.005409067015505469
ema_100,False,26,
bb_upper,False,35,
bb_middle,False,44,
bb_lower,False,41,
bb_width_20,False,7,
bb_percent_20,False,13,
adxr,False,10,
dx,False,21,
rsi_7,False,27,
rsi_14,False,43,
rsi_21,False,40,
stoch_k_5,True,1,0.0033734948634502352
stoch_d_5,False,25,
stoch_k_14,False,19,
stoch_d_14,False,22,
uo,False,32,
cmo_20,False,34,
atr_7,False,17,
atr_14,False,30,
atr_21,False,4,
stddev_20,False,31,
vix_proxy,False,9,
macd,False,37,
macd_signal,False,28,
macd_hist,False,11,
plus_di,False,16,
minus_di,False,20,
aroon_osc_25,False,33,
sar,False,18,
trix,False,3,
price_sma20_ratio,False,38,
price_ema12_ratio,False,5,
price_momentum_5,True,1,0.003892215897260547
price_momentum_10,False,29,
price_momentum_24,False,12,
ema_crossover,False,46,
chop_14,False,6,
bop,False,23,
cp_prob,False,15,
