feature,selected,ranking,importance
ew_sigma,True,1,0.9862540499961132
ma24,False,34,
ma168,False,4,
sma_20,False,11,
sma_50,False,44,
sma_100,False,16,
ema_5,False,38,
ema_12,False,33,
ema_26,False,28,
ema_50,False,24,
ema_100,False,26,
bb_upper,False,40,
bb_middle,False,2,
bb_lower,False,45,
bb_width_20,False,10,
bb_percent_20,False,6,
adxr,False,5,
dx,False,19,
rsi_7,False,36,
rsi_14,False,43,
rsi_21,False,27,
stoch_k_5,False,39,
stoch_d_5,False,31,
stoch_k_14,False,7,
stoch_d_14,False,22,
uo,False,17,
cmo_20,False,46,
atr_7,False,29,
atr_14,False,41,
atr_21,False,37,
stddev_20,False,15,
vix_proxy,False,21,
macd,False,35,
macd_signal,False,18,
macd_hist,False,32,
plus_di,False,23,
minus_di,True,1,0.006801782250535354
aroon_osc_25,False,13,
sar,False,42,
trix,False,9,
price_sma20_ratio,False,14,
price_ema12_ratio,False,8,
price_momentum_5,False,20,
price_momentum_10,False,30,
price_momentum_24,False,25,
ema_crossover,False,47,
chop_14,False,12,
bop,False,3,
cp_prob,True,1,0.006944167753351382
