feature,selected,ranking,importance
ew_sigma,True,1,0.9426320939396562
ma24,False,31,
ma168,False,10,
sma_20,False,46,
sma_50,False,6,
sma_100,False,3,
ema_5,False,33,
ema_12,False,43,
ema_26,False,45,
ema_50,False,7,
ema_100,False,2,
bb_upper,False,39,
bb_middle,False,13,
bb_lower,False,26,
bb_width_20,False,20,
bb_percent_20,False,15,
adxr,False,24,
dx,False,32,
rsi_7,False,42,
rsi_14,False,41,
rsi_21,False,40,
stoch_k_5,False,27,
stoch_d_5,False,29,
stoch_k_14,False,11,
stoch_d_14,False,23,
uo,False,16,
cmo_20,False,44,
atr_7,False,4,
atr_14,True,1,0.018180098245601326
atr_21,True,1,0.039187807814742535
stddev_20,False,28,
vix_proxy,False,9,
macd,False,21,
macd_signal,False,12,
macd_hist,False,17,
plus_di,False,14,
minus_di,False,19,
aroon_osc_25,False,38,
sar,False,35,
trix,False,5,
price_sma20_ratio,False,30,
price_ema12_ratio,False,34,
price_momentum_5,False,25,
price_momentum_10,False,36,
price_momentum_24,False,18,
ema_crossover,False,47,
chop_14,False,22,
bop,False,37,
cp_prob,False,8,
