,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,5864.941164671533,2025-08-08 19:24:03.641516,2025-08-08 19:25:52.040388,0 days 00:01:48.398872,0.1,0.01,0.99,COMPLETE
1,1,5110.3891454072145,2025-08-08 19:25:52.040724,2025-08-08 19:28:37.691998,0 days 00:02:45.651274,0.2,0.01,0.9999,COMPLETE
2,2,11787.29125601706,2025-08-08 19:28:37.692390,2025-08-08 19:31:13.691874,0 days 00:02:35.999484,0.3,1e-05,0.9999,COMPLETE
3,3,5080.073704933495,2025-08-08 19:31:13.692233,2025-08-08 19:32:44.921638,0 days 00:01:31.229405,0.2,0.001,0.99,COMPLETE
4,4,10981.034972359954,2025-08-08 19:32:44.922015,2025-08-08 19:34:39.196704,0 days 00:01:54.274689,0.3,0.01,0.999,COMPLETE
5,5,7268.878096801317,2025-08-08 19:34:39.197192,2025-08-08 19:36:28.177033,0 days 00:01:48.979841,0.1,1e-05,0.99,COMPLETE
6,6,5110.3891454072145,2025-08-08 19:36:28.177393,2025-08-08 19:38:14.134830,0 days 00:01:45.957437,0.1,1e-05,0.9999,COMPLETE
7,7,6176.929159683347,2025-08-08 19:38:14.135286,2025-08-08 19:39:59.871410,0 days 00:01:45.736124,0.3,0.001,0.99,COMPLETE
8,8,7056.325696934316,2025-08-08 19:39:59.871771,2025-08-08 19:41:47.203101,0 days 00:01:47.331330,0.3,1e-05,0.999,COMPLETE
9,9,11787.29125601706,2025-08-08 19:41:47.203457,2025-08-08 19:44:24.133480,0 days 00:02:36.930023,0.2,1e-05,0.9999,COMPLETE
10,10,11787.29125601706,2025-08-08 19:44:24.133846,2025-08-08 19:47:00.509737,0 days 00:02:36.375891,0.3,1e-05,0.9999,COMPLETE
11,11,11787.29125601706,2025-08-08 19:47:00.510104,2025-08-08 19:49:38.611527,0 days 00:02:38.101423,0.2,1e-05,0.9999,COMPLETE
12,12,11787.29125601706,2025-08-08 19:49:38.611965,2025-08-08 19:52:15.277278,0 days 00:02:36.665313,0.2,1e-05,0.9999,COMPLETE
13,13,11787.29125601706,2025-08-08 19:52:15.277640,2025-08-08 19:54:52.049641,0 days 00:02:36.772001,0.2,1e-05,0.9999,COMPLETE
14,14,11787.29125601706,2025-08-08 19:54:52.050045,2025-08-08 19:57:29.528713,0 days 00:02:37.478668,0.3,1e-05,0.9999,COMPLETE
15,15,5110.3891454072145,2025-08-08 19:57:29.529090,2025-08-08 20:00:13.602013,0 days 00:02:44.072923,0.3,0.001,0.9999,COMPLETE
16,16,13357.605475182778,2025-08-08 20:00:13.602363,2025-08-08 20:02:03.899037,0 days 00:01:50.296674,0.2,1e-05,0.999,COMPLETE
17,17,7056.325696934316,2025-08-08 20:02:03.899378,2025-08-08 20:03:51.474233,0 days 00:01:47.574855,0.3,1e-05,0.999,COMPLETE
18,18,11163.462576791577,2025-08-08 20:03:51.474636,2025-08-08 20:05:42.528129,0 days 00:01:51.053493,0.2,0.001,0.999,COMPLETE
19,19,6291.573507993997,2025-08-08 20:05:42.528494,2025-08-08 20:09:14.136738,0 days 00:03:31.608244,0.1,0.01,0.999,COMPLETE
