,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,-4246.207641090225,2025-08-08 11:21:01.768316,2025-08-08 11:21:48.079607,0 days 00:00:46.311291,0.1,0.01,0.999,COMPLETE
1,1,-8831.785488414098,2025-08-08 11:21:48.079944,2025-08-08 11:23:52.209686,0 days 00:02:04.129742,0.2,0.001,0.99,COMPLETE
2,2,-4243.489349462056,2025-08-08 11:23:52.210654,2025-08-08 11:25:05.781334,0 days 00:01:13.570680,0.1,1e-05,0.999,COMPLETE
3,3,7927.667869952267,2025-08-08 11:25:05.781779,2025-08-08 11:27:16.589696,0 days 00:02:10.807917,0.2,0.01,0.99,COMPLETE
4,4,-2287.5054272425064,2025-08-08 11:27:16.592046,2025-08-08 11:28:45.843804,0 days 00:01:29.251758,0.1,1e-05,0.99,COMPLETE
5,5,-4246.207641090225,2025-08-08 11:28:45.844740,2025-08-08 11:29:29.000008,0 days 00:00:43.155268,0.2,0.001,0.9999,COMPLETE
6,6,-4246.207641090225,2025-08-08 11:29:29.000402,2025-08-08 11:30:14.450857,0 days 00:00:45.450455,0.1,0.01,0.999,COMPLETE
7,7,7.056239103464561,2025-08-08 11:30:14.451360,2025-08-08 11:31:26.818285,0 days 00:01:12.366925,0.3,0.01,0.999,COMPLETE
8,8,-2971.763795655434,2025-08-08 11:31:26.818701,2025-08-08 11:33:00.751064,0 days 00:01:33.932363,0.3,1e-05,0.999,COMPLETE
9,9,-3994.624787003349,2025-08-08 11:33:00.751997,2025-08-08 11:34:36.259809,0 days 00:01:35.507812,0.1,0.001,0.999,COMPLETE
10,10,7927.667869952267,2025-08-08 11:34:36.260370,2025-08-08 11:36:46.788390,0 days 00:02:10.528020,0.2,0.01,0.99,COMPLETE
11,11,7927.667869952267,2025-08-08 11:36:46.788906,2025-08-08 11:38:57.968099,0 days 00:02:11.179193,0.2,0.01,0.99,COMPLETE
12,12,7927.667869952267,2025-08-08 11:38:57.969036,2025-08-08 11:41:09.402153,0 days 00:02:11.433117,0.2,0.01,0.99,COMPLETE
13,13,7927.667869952267,2025-08-08 11:41:09.403081,2025-08-08 11:43:21.465842,0 days 00:02:12.062761,0.2,0.01,0.99,COMPLETE
14,14,-1683.41202983933,2025-08-08 11:43:21.466774,2025-08-08 11:44:04.844720,0 days 00:00:43.377946,0.2,0.01,0.9999,COMPLETE
15,15,7927.667869952267,2025-08-08 11:44:04.845667,2025-08-08 11:46:18.433019,0 days 00:02:13.587352,0.2,0.01,0.99,COMPLETE
16,16,7927.667869952267,2025-08-08 11:46:18.433963,2025-08-08 11:48:30.338283,0 days 00:02:11.904320,0.2,0.01,0.99,COMPLETE
17,17,-8831.785488414098,2025-08-08 11:48:30.338819,2025-08-08 11:50:22.983479,0 days 00:01:52.644660,0.3,0.01,0.99,COMPLETE
18,18,-4246.207641090225,2025-08-08 11:50:22.983844,2025-08-08 11:51:06.933604,0 days 00:00:43.949760,0.2,1e-05,0.9999,COMPLETE
19,19,-8831.785488414098,2025-08-08 11:51:06.934032,2025-08-08 11:53:09.973767,0 days 00:02:03.039735,0.2,0.001,0.99,COMPLETE
