,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,-3106.9454549650927,2025-08-08 12:21:41.187095,2025-08-08 12:23:09.168045,0 days 00:01:27.980950,0.1,0.01,0.9999,COMPLETE
1,1,12555.820341964549,2025-08-08 12:23:09.168767,2025-08-08 12:24:38.859214,0 days 00:01:29.690447,0.2,0.01,0.99,COMPLETE
2,2,12555.820341964549,2025-08-08 12:24:38.859977,2025-08-08 12:26:08.302977,0 days 00:01:29.443000,0.2,1e-05,0.99,COMPLETE
3,3,-3106.9454549650927,2025-08-08 12:26:08.303493,2025-08-08 12:27:35.140009,0 days 00:01:26.836516,0.1,1e-05,0.9999,COMPLETE
4,4,12555.820341964549,2025-08-08 12:27:35.140514,2025-08-08 12:29:04.563337,0 days 00:01:29.422823,0.1,0.001,0.99,COMPLETE
5,5,12555.820341964549,2025-08-08 12:29:04.563882,2025-08-08 12:30:33.692361,0 days 00:01:29.128479,0.2,0.001,0.99,COMPLETE
6,6,-3106.9454549650927,2025-08-08 12:30:33.692807,2025-08-08 12:32:01.437327,0 days 00:01:27.744520,0.1,1e-05,0.9999,COMPLETE
7,7,-3106.9454549650927,2025-08-08 12:32:01.438274,2025-08-08 12:33:28.410816,0 days 00:01:26.972542,0.3,1e-05,0.9999,COMPLETE
8,8,-3106.9454549650927,2025-08-08 12:33:28.411784,2025-08-08 12:34:56.800484,0 days 00:01:28.388700,0.2,0.01,0.9999,COMPLETE
9,9,-3106.9454549650927,2025-08-08 12:34:56.801428,2025-08-08 12:36:21.905624,0 days 00:01:25.104196,0.3,0.001,0.9999,COMPLETE
10,10,5377.000148626836,2025-08-08 12:36:21.905995,2025-08-08 12:37:48.239273,0 days 00:01:26.333278,0.2,0.01,0.999,COMPLETE
11,11,12555.820341964549,2025-08-08 12:37:48.241177,2025-08-08 12:39:15.610898,0 days 00:01:27.369721,0.2,1e-05,0.99,COMPLETE
12,12,12555.820341964549,2025-08-08 12:39:15.611398,2025-08-08 12:40:43.585963,0 days 00:01:27.974565,0.2,0.01,0.99,COMPLETE
13,13,12555.820341964549,2025-08-08 12:40:43.586357,2025-08-08 12:42:11.433211,0 days 00:01:27.846854,0.2,0.01,0.99,COMPLETE
14,14,9915.893463843664,2025-08-08 12:42:11.433701,2025-08-08 12:43:36.096448,0 days 00:01:24.662747,0.2,1e-05,0.999,COMPLETE
15,15,12555.820341964549,2025-08-08 12:43:36.096960,2025-08-08 12:45:03.337920,0 days 00:01:27.240960,0.2,0.01,0.99,COMPLETE
16,16,12555.820341964549,2025-08-08 12:45:03.338456,2025-08-08 12:46:30.519558,0 days 00:01:27.181102,0.3,1e-05,0.99,COMPLETE
17,17,12555.820341964549,2025-08-08 12:46:30.519919,2025-08-08 12:47:58.387057,0 days 00:01:27.867138,0.2,1e-05,0.99,COMPLETE
18,18,5377.000148626836,2025-08-08 12:47:58.388020,2025-08-08 12:49:24.127485,0 days 00:01:25.739465,0.2,0.01,0.999,COMPLETE
19,19,12555.820341964549,2025-08-08 12:49:24.128490,2025-08-08 12:50:51.108713,0 days 00:01:26.980223,0.3,0.001,0.99,COMPLETE
