,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-21781.37148721123,2025-08-08 16:33:42.704976,2025-08-08 16:34:42.242561,0 days 00:00:59.537585,"[0, 5, 10, 15, 20]",relu,"[128, 64]",0.0003,COMPLETE
1,1,10914.865063970037,2025-08-08 16:34:42.243085,2025-08-08 16:36:11.468401,0 days 00:01:29.225316,"[0, 50, 100, 150]",tanh,"[256, 128]",0.001,COMPLETE
2,2,-3362.6756828770754,2025-08-08 16:36:11.468908,2025-08-08 16:36:37.732137,0 days 00:00:26.263229,"[0, 10, 20, 30]",tanh,"[64, 32]",0.0003,COMPLETE
3,3,-943.1659518380002,2025-08-08 16:36:37.732573,2025-08-08 16:37:36.920511,0 days 00:00:59.187938,"[0, 10, 20, 30]",relu,"[128, 64]",0.001,COMPLETE
4,4,50667.91624483244,2025-08-08 16:37:36.920947,2025-08-08 16:38:20.678479,0 days 00:00:43.757532,"[0, 5, 10, 15, 20]",tanh,"[128, 64]",0.0001,COMPLETE
5,5,2552.565246662157,2025-08-08 16:38:20.678837,2025-08-08 16:39:53.531712,0 days 00:01:32.852875,"[0, 30, 60, 90]",relu,"[128, 64]",0.0003,COMPLETE
6,6,-3055.582931732675,2025-08-08 16:39:53.532179,2025-08-08 16:40:32.684102,0 days 00:00:39.151923,"[0, 10, 20, 30]",tanh,"[32, 32]",0.0003,COMPLETE
7,7,6955.259364249846,2025-08-08 16:40:32.684561,2025-08-08 16:42:44.361158,0 days 00:02:11.676597,"[0, 50, 100, 150]",tanh,"[256, 128]",0.0001,COMPLETE
8,8,1526.0529181523364,2025-08-08 16:42:44.362094,2025-08-08 16:43:03.396951,0 days 00:00:19.034857,"[0, 10, 20, 30]",relu,"[128, 64, 32]",0.0003,COMPLETE
9,9,-21781.37148721123,2025-08-08 16:43:03.397341,2025-08-08 16:43:49.614750,0 days 00:00:46.217409,"[0, 5, 10, 15, 20]",relu,"[64, 32]",0.0001,COMPLETE
10,10,1256.1988847605767,2025-08-08 16:43:49.615133,2025-08-08 16:45:13.095486,0 days 00:01:23.480353,"[0, 5, 10, 15, 20]",tanh,"[256, 128, 64]",0.0001,COMPLETE
11,11,9032.345950090203,2025-08-08 16:45:13.098235,2025-08-08 16:46:40.766027,0 days 00:01:27.667792,"[0, 50, 100, 150]",tanh,"[128, 128]",0.001,COMPLETE
12,12,8621.283835085653,2025-08-08 16:46:40.766454,2025-08-08 16:48:02.217034,0 days 00:01:21.450580,"[0, 50, 100, 150]",tanh,"[64, 64]",0.001,COMPLETE
13,13,-320.3195614590702,2025-08-08 16:48:02.218187,2025-08-08 16:51:31.310280,0 days 00:03:29.092093,"[0, 30, 60, 90]",tanh,"[256, 128]",0.001,COMPLETE
14,14,6667.245969007164,2025-08-08 16:51:31.310668,2025-08-08 16:51:52.865315,0 days 00:00:21.554647,"[0, 5, 10, 15, 20]",tanh,"[256, 128]",0.0001,COMPLETE
15,15,9032.345950090203,2025-08-08 16:51:52.865885,2025-08-08 16:53:20.847455,0 days 00:01:27.981570,"[0, 50, 100, 150]",tanh,"[128, 128]",0.001,COMPLETE
16,16,7005.273399215603,2025-08-08 16:53:20.847860,2025-08-08 16:53:53.126318,0 days 00:00:32.278458,"[0, 5, 10, 15, 20]",tanh,"[64, 64]",0.0001,COMPLETE
17,17,4789.538852278217,2025-08-08 16:53:53.126843,2025-08-08 16:57:44.471618,0 days 00:03:51.344775,"[0, 50, 100, 150]",tanh,"[128, 64, 32]",0.0001,COMPLETE
18,18,69260.49667086522,2025-08-08 16:57:44.472524,2025-08-08 17:01:30.185089,0 days 00:03:45.712565,"[0, 30, 60, 90]",tanh,"[32, 32]",0.001,COMPLETE
19,19,69260.49667086522,2025-08-08 17:01:30.187408,2025-08-08 17:05:08.148255,0 days 00:03:37.960847,"[0, 30, 60, 90]",tanh,"[32, 32]",0.001,COMPLETE
