,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,-3437.6889632747143,2025-08-09 11:32:08.931116,2025-08-09 11:33:42.602533,0 days 00:01:33.671417,0.1,0.01,0.99,COMPLETE
1,1,28616.69966459493,2025-08-09 11:33:42.603280,2025-08-09 11:35:13.886166,0 days 00:01:31.282886,0.3,0.01,0.99,COMPLETE
2,2,-7420.954752855885,2025-08-09 11:35:13.887387,2025-08-09 11:37:26.856315,0 days 00:02:12.968928,0.3,0.001,0.9999,COMPLETE
3,3,2706.894838032098,2025-08-09 11:37:26.857280,2025-08-09 11:39:41.140474,0 days 00:02:14.283194,0.3,1e-05,0.99,COMPLETE
4,4,-7316.60980001562,2025-08-09 11:39:41.141335,2025-08-09 11:42:28.849517,0 days 00:02:47.708182,0.2,1e-05,0.9999,COMPLETE
5,5,-7420.954752855885,2025-08-09 11:42:28.850069,2025-08-09 11:44:41.653858,0 days 00:02:12.803789,0.3,0.001,0.9999,COMPLETE
6,6,-5946.606021417484,2025-08-09 11:44:41.654775,2025-08-09 11:46:14.432409,0 days 00:01:32.777634,0.1,1e-05,0.9999,COMPLETE
7,7,-7154.611640885569,2025-08-09 11:46:14.432796,2025-08-09 11:49:07.583869,0 days 00:02:53.151073,0.3,1e-05,0.999,COMPLETE
8,8,1351.3398639634509,2025-08-09 11:49:07.584720,2025-08-09 11:52:42.846493,0 days 00:03:35.261773,0.2,0.001,0.999,COMPLETE
9,9,-6642.9185417983945,2025-08-09 11:52:42.846982,2025-08-09 11:54:09.401993,0 days 00:01:26.555011,0.1,0.01,0.999,COMPLETE
10,10,28616.69966459493,2025-08-09 11:54:09.402888,2025-08-09 11:55:40.097883,0 days 00:01:30.694995,0.3,0.01,0.99,COMPLETE
11,11,28616.69966459493,2025-08-09 11:55:40.098243,2025-08-09 11:57:09.414379,0 days 00:01:29.316136,0.3,0.01,0.99,COMPLETE
12,12,28616.69966459493,2025-08-09 11:57:09.414766,2025-08-09 11:58:39.068714,0 days 00:01:29.653948,0.3,0.01,0.99,COMPLETE
13,13,28616.69966459493,2025-08-09 11:58:39.069195,2025-08-09 12:00:08.761066,0 days 00:01:29.691871,0.3,0.01,0.99,COMPLETE
14,14,28616.69966459493,2025-08-09 12:00:08.761921,2025-08-09 12:01:39.170919,0 days 00:01:30.408998,0.3,0.01,0.99,COMPLETE
15,15,-6924.560413599529,2025-08-09 12:01:39.171767,2025-08-09 12:03:52.997180,0 days 00:02:13.825413,0.2,0.01,0.99,COMPLETE
16,16,28616.69966459493,2025-08-09 12:03:52.998038,2025-08-09 12:05:22.272519,0 days 00:01:29.274481,0.3,0.01,0.99,COMPLETE
17,17,28616.69966459493,2025-08-09 12:05:22.272877,2025-08-09 12:06:51.379121,0 days 00:01:29.106244,0.3,0.01,0.99,COMPLETE
18,18,-3437.6889632747143,2025-08-09 12:06:51.379491,2025-08-09 12:08:23.467516,0 days 00:01:32.088025,0.1,0.01,0.99,COMPLETE
19,19,1351.3398639634509,2025-08-09 12:08:23.468348,2025-08-09 12:11:59.229639,0 days 00:03:35.761291,0.2,0.001,0.999,COMPLETE
