,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,25054.351249394535,2025-08-08 14:14:20.732216,2025-08-08 14:16:02.674709,0 days 00:01:41.942493,0.1,0.001,0.99,COMPLETE
1,1,25054.351249394535,2025-08-08 14:16:02.676434,2025-08-08 14:17:43.350417,0 days 00:01:40.673983,0.1,0.001,0.99,COMPLETE
2,2,298.0699090645299,2025-08-08 14:17:43.351015,2025-08-08 14:19:30.161970,0 days 00:01:46.810955,0.3,0.001,0.9999,COMPLETE
3,3,25054.351249394535,2025-08-08 14:19:30.205895,2025-08-08 14:24:17.422956,0 days 00:04:47.217061,0.2,0.01,0.99,COMPLETE
4,4,2519.698509748453,2025-08-08 14:24:17.423893,2025-08-08 14:25:53.347190,0 days 00:01:35.923297,0.2,0.01,0.9999,COMPLETE
5,5,298.0699090645299,2025-08-08 14:25:53.347585,2025-08-08 14:27:28.192959,0 days 00:01:34.845374,0.3,1e-05,0.9999,COMPLETE
6,6,25054.351249394535,2025-08-08 14:27:28.193495,2025-08-08 14:29:04.923586,0 days 00:01:36.730091,0.1,0.001,0.999,COMPLETE
7,7,298.0699090645299,2025-08-08 14:29:04.924614,2025-08-08 14:30:42.067459,0 days 00:01:37.142845,0.2,0.001,0.9999,COMPLETE
8,8,2241.792969450199,2025-08-08 14:30:42.068483,2025-08-08 14:32:19.572873,0 days 00:01:37.504390,0.1,1e-05,0.9999,COMPLETE
9,9,298.0699090645299,2025-08-08 14:32:19.573869,2025-08-08 14:33:54.725155,0 days 00:01:35.151286,0.3,1e-05,0.9999,COMPLETE
10,10,25054.351249394535,2025-08-08 14:33:54.726126,2025-08-08 14:35:34.745407,0 days 00:01:40.019281,0.1,0.001,0.99,COMPLETE
11,11,25054.351249394535,2025-08-08 14:35:34.745839,2025-08-08 14:37:14.841170,0 days 00:01:40.095331,0.1,0.001,0.99,COMPLETE
12,12,25054.351249394535,2025-08-08 14:37:14.842343,2025-08-08 14:38:55.165425,0 days 00:01:40.323082,0.1,0.001,0.99,COMPLETE
13,13,25054.351249394535,2025-08-08 14:38:55.165981,2025-08-08 14:40:34.804129,0 days 00:01:39.638148,0.1,0.001,0.99,COMPLETE
14,14,25054.351249394535,2025-08-08 14:40:34.804520,2025-08-08 14:42:10.031794,0 days 00:01:35.227274,0.1,0.001,0.999,COMPLETE
15,15,25054.351249394535,2025-08-08 14:42:10.032727,2025-08-08 14:43:49.377970,0 days 00:01:39.345243,0.1,0.01,0.99,COMPLETE
16,16,25054.351249394535,2025-08-08 14:43:49.378937,2025-08-08 14:45:29.345623,0 days 00:01:39.966686,0.1,0.001,0.99,COMPLETE
17,17,25054.351249394535,2025-08-08 14:45:29.345982,2025-08-08 14:47:09.796101,0 days 00:01:40.450119,0.1,0.001,0.99,COMPLETE
18,18,2241.792969450199,2025-08-08 14:47:09.796971,2025-08-08 14:48:44.718248,0 days 00:01:34.921277,0.2,1e-05,0.999,COMPLETE
19,19,25054.351249394535,2025-08-08 14:48:44.718609,2025-08-08 14:50:31.721347,0 days 00:01:47.002738,0.3,0.01,0.99,COMPLETE
