,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-709.2587178266739,2025-08-08 08:58:32.854315,2025-08-08 08:59:43.197133,0 days 00:01:10.342818,"[0, 5, 10, 15, 20]",relu,"[64, 64]",0.0003,COMPLETE
1,1,-31549.86648400539,2025-08-08 08:59:43.198418,2025-08-08 09:01:01.945700,0 days 00:01:18.747282,"[0, 5, 10, 15, 20]",relu,"[128, 128]",0.0001,COMPLETE
2,2,1762.4486463434791,2025-08-08 09:01:01.946448,2025-08-08 09:02:13.580729,0 days 00:01:11.634281,"[0, 50, 100, 150]",relu,"[64, 32]",0.0003,COMPLETE
3,3,2811.323743556275,2025-08-08 09:02:13.581534,2025-08-08 09:04:08.845411,0 days 00:01:55.263877,"[0, 50, 100, 150]",tanh,"[32, 32]",0.001,COMPLETE
4,4,-1233.0011483850624,2025-08-08 09:04:08.845819,2025-08-08 09:05:17.118182,0 days 00:01:08.272363,"[0, 50, 100, 150]",tanh,"[128, 64, 32]",0.0003,COMPLETE
5,5,16514.060671280124,2025-08-08 09:05:17.118700,2025-08-08 09:06:43.833151,0 days 00:01:26.714451,"[0, 10, 20, 30]",relu,"[128, 64, 32]",0.0003,COMPLETE
6,6,-131325.15474771158,2025-08-08 09:06:43.833616,2025-08-08 09:08:00.022814,0 days 00:01:16.189198,"[0, 5, 10, 15, 20]",tanh,"[64, 32]",0.001,COMPLETE
7,7,2150.000073356677,2025-08-08 09:08:00.023232,2025-08-08 09:09:24.850615,0 days 00:01:24.827383,"[0, 50, 100, 150]",tanh,"[64, 32]",0.0003,COMPLETE
8,8,15692.1707217192,2025-08-08 09:09:24.851076,2025-08-08 09:09:47.335334,0 days 00:00:22.484258,"[0, 5, 10, 15, 20]",tanh,"[256, 128]",0.001,COMPLETE
9,9,-18094.910093636827,2025-08-08 09:09:47.335734,2025-08-08 09:11:05.055843,0 days 00:01:17.720109,"[0, 10, 20, 30]",tanh,"[64, 64]",0.001,COMPLETE
10,10,-120127.59653473806,2025-08-08 09:11:05.056519,2025-08-08 09:12:26.884520,0 days 00:01:21.828001,"[0, 10, 20, 30]",relu,"[128, 64]",0.0001,COMPLETE
11,11,3336.808511899287,2025-08-08 09:12:26.885005,2025-08-08 09:13:23.917273,0 days 00:00:57.032268,"[0, 30, 60, 90]",relu,"[256, 128]",0.001,COMPLETE
12,12,16514.060671280124,2025-08-08 09:13:23.917789,2025-08-08 09:14:49.524510,0 days 00:01:25.606721,"[0, 10, 20, 30]",relu,"[128, 64, 32]",0.0003,COMPLETE
13,13,16514.060671280124,2025-08-08 09:14:49.524922,2025-08-08 09:16:15.102571,0 days 00:01:25.577649,"[0, 10, 20, 30]",relu,"[128, 64, 32]",0.0003,COMPLETE
14,14,16514.060671280124,2025-08-08 09:16:15.103311,2025-08-08 09:17:41.722282,0 days 00:01:26.618971,"[0, 10, 20, 30]",relu,"[128, 64, 32]",0.0003,COMPLETE
15,15,16514.060671280124,2025-08-08 09:17:41.722764,2025-08-08 09:19:07.855755,0 days 00:01:26.132991,"[0, 10, 20, 30]",relu,"[128, 64, 32]",0.0003,COMPLETE
16,16,-428.25084128781566,2025-08-08 09:19:07.856574,2025-08-08 09:19:58.993675,0 days 00:00:51.137101,"[0, 30, 60, 90]",relu,"[256, 128, 64]",0.0003,COMPLETE
17,17,24655.74722861448,2025-08-08 09:19:58.994078,2025-08-08 09:20:44.282773,0 days 00:00:45.288695,"[0, 10, 20, 30]",relu,"[128, 64, 32]",0.0001,COMPLETE
18,18,-120127.59653473806,2025-08-08 09:20:44.283169,2025-08-08 09:22:06.917992,0 days 00:01:22.634823,"[0, 10, 20, 30]",relu,"[128, 64]",0.0001,COMPLETE
19,19,12778.080057119123,2025-08-08 09:22:06.918798,2025-08-08 09:22:27.651945,0 days 00:00:20.733147,"[0, 10, 20, 30]",relu,"[32, 32]",0.0001,COMPLETE
