,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,8944.52998799351,2025-08-08 17:05:08.165252,2025-08-08 17:06:10.782282,0 days 00:01:02.617030,0.1,0.001,0.999,COMPLETE
1,1,12930.350654032589,2025-08-08 17:06:10.782583,2025-08-08 17:07:38.561595,0 days 00:01:27.779012,0.2,1e-05,0.99,COMPLETE
2,2,8970.482901890098,2025-08-08 17:07:38.562053,2025-08-08 17:09:02.855238,0 days 00:01:24.293185,0.3,0.001,0.999,COMPLETE
3,3,2552.565246662157,2025-08-08 17:09:02.855616,2025-08-08 17:11:59.970034,0 days 00:02:57.114418,0.2,0.01,0.999,COMPLETE
4,4,2552.565246662157,2025-08-08 17:11:59.971203,2025-08-08 17:14:19.251076,0 days 00:02:19.279873,0.2,0.001,0.9999,COMPLETE
5,5,43013.273657651946,2025-08-08 17:14:19.252094,2025-08-08 17:16:29.236681,0 days 00:02:09.984587,0.3,0.01,0.9999,COMPLETE
6,6,69260.49667086522,2025-08-08 17:16:29.237669,2025-08-08 17:20:08.832813,0 days 00:03:39.595144,0.3,1e-05,0.99,COMPLETE
7,7,12930.350654032589,2025-08-08 17:20:08.833594,2025-08-08 17:21:38.456488,0 days 00:01:29.622894,0.2,1e-05,0.99,COMPLETE
8,8,9529.314070205164,2025-08-08 17:21:38.457401,2025-08-08 17:22:45.904584,0 days 00:01:07.447183,0.3,0.01,0.99,COMPLETE
9,9,2344.7272759490093,2025-08-08 17:22:45.905517,2025-08-08 17:24:07.963910,0 days 00:01:22.058393,0.2,0.001,0.99,COMPLETE
10,10,2552.565246662157,2025-08-08 17:24:07.964844,2025-08-08 17:25:29.279120,0 days 00:01:21.314276,0.1,1e-05,0.99,COMPLETE
11,11,43013.273657651946,2025-08-08 17:25:29.279705,2025-08-08 17:27:46.061814,0 days 00:02:16.782109,0.3,0.01,0.9999,COMPLETE
12,12,2552.565246662157,2025-08-08 17:27:46.062800,2025-08-08 17:29:56.841812,0 days 00:02:10.779012,0.3,1e-05,0.9999,COMPLETE
13,13,43013.273657651946,2025-08-08 17:29:56.842851,2025-08-08 17:32:05.935411,0 days 00:02:09.092560,0.3,0.01,0.9999,COMPLETE
14,14,43013.273657651946,2025-08-08 17:32:05.935783,2025-08-08 17:34:15.445549,0 days 00:02:09.509766,0.3,0.01,0.9999,COMPLETE
15,15,69260.49667086522,2025-08-08 17:34:15.446450,2025-08-08 17:37:53.884042,0 days 00:03:38.437592,0.3,1e-05,0.99,COMPLETE
16,16,69260.49667086522,2025-08-08 17:37:53.884397,2025-08-08 17:41:31.109646,0 days 00:03:37.225249,0.3,1e-05,0.99,COMPLETE
17,17,2552.565246662157,2025-08-08 17:41:31.109999,2025-08-08 17:42:46.421015,0 days 00:01:15.311016,0.1,1e-05,0.99,COMPLETE
18,18,69260.49667086522,2025-08-08 17:42:46.421355,2025-08-08 17:46:23.932456,0 days 00:03:37.511101,0.3,1e-05,0.99,COMPLETE
19,19,69260.49667086522,2025-08-08 17:46:23.932818,2025-08-08 17:50:01.186931,0 days 00:03:37.254113,0.3,1e-05,0.99,COMPLETE
