,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,-41019.486572132955,2025-08-08 15:15:37.619497,2025-08-08 15:15:54.806096,0 days 00:00:17.186599,0.1,1e-05,0.999,COMPLETE
1,1,-41019.486572132955,2025-08-08 15:15:54.806595,2025-08-08 15:16:52.845014,0 days 00:00:58.038419,0.3,0.01,0.9999,COMPLETE
2,2,4085.708322151828,2025-08-08 15:16:52.845563,2025-08-08 15:17:22.181005,0 days 00:00:29.335442,0.3,0.01,0.999,COMPLETE
3,3,25553.858969898258,2025-08-08 15:17:22.181355,2025-08-08 15:17:40.053102,0 days 00:00:17.871747,0.3,1e-05,0.99,COMPLETE
4,4,18410.188899365527,2025-08-08 15:17:40.053446,2025-08-08 15:18:03.839666,0 days 00:00:23.786220,0.1,0.01,0.99,COMPLETE
5,5,-9598.770967299335,2025-08-08 15:18:03.840024,2025-08-08 15:18:26.189392,0 days 00:00:22.349368,0.3,1e-05,0.9999,COMPLETE
6,6,-41019.486572132955,2025-08-08 15:18:26.189756,2025-08-08 15:19:23.798197,0 days 00:00:57.608441,0.3,0.01,0.9999,COMPLETE
7,7,-574.7460838185928,2025-08-08 15:19:23.799113,2025-08-08 15:19:46.849373,0 days 00:00:23.050260,0.2,0.001,0.999,COMPLETE
8,8,-41019.486572132955,2025-08-08 15:19:46.849746,2025-08-08 15:20:10.009510,0 days 00:00:23.159764,0.2,1e-05,0.999,COMPLETE
9,9,-9598.770967299335,2025-08-08 15:20:10.009892,2025-08-08 15:20:32.808650,0 days 00:00:22.798758,0.3,1e-05,0.9999,COMPLETE
10,10,23906.70852944361,2025-08-08 15:20:32.809697,2025-08-08 15:20:54.764531,0 days 00:00:21.954834,0.1,0.001,0.99,COMPLETE
11,11,23906.70852944361,2025-08-08 15:20:54.765090,2025-08-08 15:21:17.068524,0 days 00:00:22.303434,0.1,0.001,0.99,COMPLETE
12,12,23906.70852944361,2025-08-08 15:21:17.068909,2025-08-08 15:21:38.878633,0 days 00:00:21.809724,0.1,0.001,0.99,COMPLETE
13,13,23906.70852944361,2025-08-08 15:21:38.881347,2025-08-08 15:22:00.592367,0 days 00:00:21.711020,0.1,0.001,0.99,COMPLETE
14,14,18418.38081307648,2025-08-08 15:22:00.592733,2025-08-08 15:22:33.868645,0 days 00:00:33.275912,0.2,0.001,0.99,COMPLETE
15,15,25553.858969898258,2025-08-08 15:22:33.869803,2025-08-08 15:22:51.889124,0 days 00:00:18.019321,0.3,1e-05,0.99,COMPLETE
16,16,25553.858969898258,2025-08-08 15:22:51.890167,2025-08-08 15:23:09.234795,0 days 00:00:17.344628,0.3,1e-05,0.99,COMPLETE
17,17,25553.858969898258,2025-08-08 15:23:09.235148,2025-08-08 15:23:26.875850,0 days 00:00:17.640702,0.3,1e-05,0.99,COMPLETE
18,18,25553.858969898258,2025-08-08 15:23:26.876261,2025-08-08 15:23:44.250002,0 days 00:00:17.373741,0.3,1e-05,0.99,COMPLETE
19,19,25553.858969898258,2025-08-08 15:23:44.250353,2025-08-08 15:24:01.641198,0 days 00:00:17.390845,0.3,1e-05,0.99,COMPLETE
