,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,1095.7081689766642,2025-08-08 10:47:55.021685,2025-08-08 10:50:06.429830,0 days 00:02:11.408145,"[0, 50, 100, 150]",relu,"[256, 128]",0.0003,COMPLETE
1,1,-70705.28671942983,2025-08-08 10:50:06.430613,2025-08-08 10:50:22.310287,0 days 00:00:15.879674,"[0, 10, 20, 30]",relu,"[64, 64]",0.0001,COMPLETE
2,2,5577.279808762601,2025-08-08 10:50:22.310990,2025-08-08 10:53:42.039680,0 days 00:03:19.728690,"[0, 50, 100, 150]",relu,"[256, 128, 64]",0.001,COMPLETE
3,3,-1078.4963367553498,2025-08-08 10:53:42.040414,2025-08-08 10:54:33.228299,0 days 00:00:51.187885,"[0, 10, 20, 30]",relu,"[256, 128]",0.001,COMPLETE
4,4,-1026.4209458308767,2025-08-08 10:54:33.228736,2025-08-08 10:55:51.763196,0 days 00:01:18.534460,"[0, 30, 60, 90]",relu,"[256, 128]",0.001,COMPLETE
5,5,-118777.70877325696,2025-08-08 10:55:51.764292,2025-08-08 10:57:01.542759,0 days 00:01:09.778467,"[0, 5, 10, 15, 20]",tanh,"[256, 128]",0.0003,COMPLETE
6,6,-70705.28671942983,2025-08-08 10:57:01.543175,2025-08-08 10:57:17.115300,0 days 00:00:15.572125,"[0, 10, 20, 30]",relu,"[64, 64]",0.0001,COMPLETE
7,7,-984.9051568903045,2025-08-08 10:57:17.115725,2025-08-08 10:58:22.567882,0 days 00:01:05.452157,"[0, 5, 10, 15, 20]",tanh,"[64, 32]",0.001,COMPLETE
8,8,-78853.95553505632,2025-08-08 10:58:22.568299,2025-08-08 10:59:05.089582,0 days 00:00:42.521283,"[0, 10, 20, 30]",tanh,"[64, 32]",0.0001,COMPLETE
9,9,5783.52972196537,2025-08-08 10:59:05.090003,2025-08-08 11:00:43.201451,0 days 00:01:38.111448,"[0, 50, 100, 150]",relu,"[128, 64, 32]",0.0001,COMPLETE
10,10,-4563.2707550353225,2025-08-08 11:00:43.202240,2025-08-08 11:02:21.369203,0 days 00:01:38.166963,"[0, 50, 100, 150]",tanh,"[128, 64, 32]",0.0001,COMPLETE
11,11,5577.279808762601,2025-08-08 11:02:21.369612,2025-08-08 11:05:33.809195,0 days 00:03:12.439583,"[0, 50, 100, 150]",relu,"[256, 128, 64]",0.001,COMPLETE
12,12,-3720.843068062864,2025-08-08 11:05:33.810090,2025-08-08 11:06:39.391685,0 days 00:01:05.581595,"[0, 50, 100, 150]",relu,"[32, 32]",0.0001,COMPLETE
13,13,5577.279808762601,2025-08-08 11:06:39.392158,2025-08-08 11:09:52.811030,0 days 00:03:13.418872,"[0, 50, 100, 150]",relu,"[256, 128, 64]",0.001,COMPLETE
14,14,5722.196391112756,2025-08-08 11:09:52.811675,2025-08-08 11:12:36.471598,0 days 00:02:43.659923,"[0, 30, 60, 90]",relu,"[128, 64, 32]",0.0003,COMPLETE
15,15,5722.196391112756,2025-08-08 11:12:36.472034,2025-08-08 11:15:20.651896,0 days 00:02:44.179862,"[0, 30, 60, 90]",relu,"[128, 64, 32]",0.0003,COMPLETE
16,16,-8831.785488414098,2025-08-08 11:15:20.652304,2025-08-08 11:16:46.557104,0 days 00:01:25.904800,"[0, 30, 60, 90]",relu,"[128, 128]",0.0003,COMPLETE
17,17,7927.667869952267,2025-08-08 11:16:46.557557,2025-08-08 11:18:58.634791,0 days 00:02:12.077234,"[0, 30, 60, 90]",relu,"[128, 64]",0.0003,COMPLETE
18,18,-5745.801633205803,2025-08-08 11:18:58.635561,2025-08-08 11:20:45.847109,0 days 00:01:47.211548,"[0, 30, 60, 90]",tanh,"[128, 64]",0.0003,COMPLETE
19,19,-731.6278371626652,2025-08-08 11:20:45.847531,2025-08-08 11:21:01.759541,0 days 00:00:15.912010,"[0, 5, 10, 15, 20]",relu,"[128, 64]",0.0001,COMPLETE
