,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,-2436.0841978364733,2025-08-08 13:15:03.057478,2025-08-08 13:16:21.782752,0 days 00:01:18.725274,0.3,0.01,0.9999,COMPLETE
1,1,-2451.581413419773,2025-08-08 13:16:21.783073,2025-08-08 13:17:40.199071,0 days 00:01:18.415998,0.1,0.001,0.9999,COMPLETE
2,2,-3807.18660037608,2025-08-08 13:17:40.199428,2025-08-08 13:18:48.486836,0 days 00:01:08.287408,0.3,0.01,0.999,COMPLETE
3,3,8496.801575959036,2025-08-08 13:18:48.487186,2025-08-08 13:20:19.244763,0 days 00:01:30.757577,0.2,1e-05,0.99,COMPLETE
4,4,-3597.721378924067,2025-08-08 13:20:19.245122,2025-08-08 13:21:26.445424,0 days 00:01:07.200302,0.1,1e-05,0.999,COMPLETE
5,5,-2436.0841978364733,2025-08-08 13:21:26.445774,2025-08-08 13:22:46.292868,0 days 00:01:19.847094,0.2,0.01,0.9999,COMPLETE
6,6,-2436.0841978364733,2025-08-08 13:22:46.293906,2025-08-08 13:24:08.706538,0 days 00:01:22.412632,0.1,0.01,0.9999,COMPLETE
7,7,-3597.721378924067,2025-08-08 13:24:08.707449,2025-08-08 13:25:20.676397,0 days 00:01:11.968948,0.1,0.001,0.999,COMPLETE
8,8,-3597.721378924067,2025-08-08 13:25:20.677323,2025-08-08 13:26:30.306397,0 days 00:01:09.629074,0.1,1e-05,0.999,COMPLETE
9,9,-2436.0841978364733,2025-08-08 13:26:30.307334,2025-08-08 13:27:49.730828,0 days 00:01:19.423494,0.3,0.01,0.9999,COMPLETE
10,10,8496.801575959036,2025-08-08 13:27:49.731377,2025-08-08 13:29:21.073935,0 days 00:01:31.342558,0.2,1e-05,0.99,COMPLETE
11,11,8496.801575959036,2025-08-08 13:29:21.074296,2025-08-08 13:30:52.136401,0 days 00:01:31.062105,0.2,1e-05,0.99,COMPLETE
12,12,8496.801575959036,2025-08-08 13:30:52.136781,2025-08-08 13:32:23.264112,0 days 00:01:31.127331,0.2,1e-05,0.99,COMPLETE
13,13,8496.801575959036,2025-08-08 13:32:23.265013,2025-08-08 13:33:54.495569,0 days 00:01:31.230556,0.2,1e-05,0.99,COMPLETE
14,14,8496.801575959036,2025-08-08 13:33:54.495931,2025-08-08 13:35:25.391123,0 days 00:01:30.895192,0.2,1e-05,0.99,COMPLETE
15,15,8496.801575959036,2025-08-08 13:35:25.391524,2025-08-08 13:36:56.637989,0 days 00:01:31.246465,0.2,1e-05,0.99,COMPLETE
16,16,8496.801575959036,2025-08-08 13:36:56.638943,2025-08-08 13:38:27.637704,0 days 00:01:30.998761,0.2,1e-05,0.99,COMPLETE
17,17,8732.357437815846,2025-08-08 13:38:27.638104,2025-08-08 13:40:00.040997,0 days 00:01:32.402893,0.2,0.001,0.99,COMPLETE
18,18,8732.357437815846,2025-08-08 13:40:00.041412,2025-08-08 13:41:32.515952,0 days 00:01:32.474540,0.2,0.001,0.99,COMPLETE
19,19,8732.357437815846,2025-08-08 13:41:32.516327,2025-08-08 13:43:05.128420,0 days 00:01:32.612093,0.2,0.001,0.99,COMPLETE
