,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,6599.633697467646,2025-08-08 14:55:55.479345,2025-08-08 14:56:49.026840,0 days 00:00:53.547495,"[0, 10, 20, 30]",relu,"[128, 64]",0.0003,COMPLETE
1,1,18988.57426519956,2025-08-08 14:56:49.027234,2025-08-08 14:57:46.044703,0 days 00:00:57.017469,"[0, 30, 60, 90]",relu,"[64, 64]",0.0001,COMPLETE
2,2,20862.288825346743,2025-08-08 14:57:46.045458,2025-08-08 14:57:58.312625,0 days 00:00:12.267167,"[0, 5, 10, 15, 20]",relu,"[128, 64, 32]",0.0003,COMPLETE
3,3,-3894.0181533818827,2025-08-08 14:57:58.313003,2025-08-08 14:59:18.978901,0 days 00:01:20.665898,"[0, 10, 20, 30]",relu,"[64, 32]",0.0001,COMPLETE
4,4,-3894.0181533818827,2025-08-08 14:59:18.979345,2025-08-08 15:00:20.923357,0 days 00:01:01.944012,"[0, 10, 20, 30]",tanh,"[64, 32]",0.0003,COMPLETE
5,5,22492.84665588597,2025-08-08 15:00:20.923743,2025-08-08 15:01:10.015227,0 days 00:00:49.091484,"[0, 5, 10, 15, 20]",tanh,"[256, 128, 64]",0.001,COMPLETE
6,6,2123.023683104927,2025-08-08 15:01:10.015594,2025-08-08 15:02:34.842946,0 days 00:01:24.827352,"[0, 30, 60, 90]",tanh,"[256, 128, 64]",0.0001,COMPLETE
7,7,-3894.0181533818827,2025-08-08 15:02:34.843951,2025-08-08 15:03:36.575015,0 days 00:01:01.731064,"[0, 10, 20, 30]",relu,"[64, 64]",0.0003,COMPLETE
8,8,-41019.486572132955,2025-08-08 15:03:36.575585,2025-08-08 15:04:34.587267,0 days 00:00:58.011682,"[0, 5, 10, 15, 20]",tanh,"[32, 32]",0.001,COMPLETE
9,9,23906.70852944361,2025-08-08 15:04:34.587850,2025-08-08 15:04:57.191581,0 days 00:00:22.603731,"[0, 5, 10, 15, 20]",relu,"[256, 128]",0.0001,COMPLETE
10,10,100.24987112588161,2025-08-08 15:04:57.191999,2025-08-08 15:06:30.719268,0 days 00:01:33.527269,"[0, 50, 100, 150]",relu,"[256, 128]",0.0001,COMPLETE
11,11,-41019.486572132955,2025-08-08 15:06:30.720230,2025-08-08 15:07:45.598322,0 days 00:01:14.878092,"[0, 5, 10, 15, 20]",tanh,"[256, 128]",0.001,COMPLETE
12,12,22492.84665588597,2025-08-08 15:07:45.599324,2025-08-08 15:08:36.048445,0 days 00:00:50.449121,"[0, 5, 10, 15, 20]",tanh,"[256, 128, 64]",0.001,COMPLETE
13,13,17910.719729306093,2025-08-08 15:08:36.049291,2025-08-08 15:08:56.537811,0 days 00:00:20.488520,"[0, 5, 10, 15, 20]",tanh,"[128, 128]",0.001,COMPLETE
14,14,-2027.3599878596033,2025-08-08 15:08:56.538230,2025-08-08 15:09:51.535691,0 days 00:00:54.997461,"[0, 50, 100, 150]",relu,"[256, 128, 64]",0.0001,COMPLETE
15,15,-41019.486572132955,2025-08-08 15:09:51.536217,2025-08-08 15:11:03.800573,0 days 00:01:12.264356,"[0, 5, 10, 15, 20]",tanh,"[256, 128]",0.001,COMPLETE
16,16,17970.71972709768,2025-08-08 15:11:03.801553,2025-08-08 15:11:24.775878,0 days 00:00:20.974325,"[0, 5, 10, 15, 20]",tanh,"[128, 128]",0.0001,COMPLETE
17,17,-41019.486572132955,2025-08-08 15:11:24.776335,2025-08-08 15:12:43.162145,0 days 00:01:18.385810,"[0, 5, 10, 15, 20]",relu,"[32, 32]",0.001,COMPLETE
18,18,-2480.432532553578,2025-08-08 15:12:43.163012,2025-08-08 15:14:32.022412,0 days 00:01:48.859400,"[0, 50, 100, 150]",tanh,"[128, 64, 32]",0.001,COMPLETE
19,19,2775.761773150428,2025-08-08 15:14:32.023413,2025-08-08 15:15:37.609105,0 days 00:01:05.585692,"[0, 30, 60, 90]",relu,"[128, 64]",0.0001,COMPLETE
