,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,24279.584779951463,2025-08-08 09:22:27.666044,2025-08-08 09:23:16.800498,0 days 00:00:49.134454,0.2,1e-05,0.99,COMPLETE
1,1,-55241.01547328913,2025-08-08 09:23:16.800846,2025-08-08 09:23:39.715436,0 days 00:00:22.914590,0.1,1e-05,0.9999,COMPLETE
2,2,-121508.72540049905,2025-08-08 09:23:39.715869,2025-08-08 09:23:57.489904,0 days 00:00:17.774035,0.3,0.001,0.9999,COMPLETE
3,3,-37782.7521941884,2025-08-08 09:23:57.490379,2025-08-08 09:24:19.204998,0 days 00:00:21.714619,0.3,1e-05,0.9999,COMPLETE
4,4,-120127.59653473806,2025-08-08 09:24:19.205434,2025-08-08 09:24:50.592470,0 days 00:00:31.387036,0.1,0.001,0.99,COMPLETE
5,5,-31519.457535553876,2025-08-08 09:24:50.592863,2025-08-08 09:25:14.903167,0 days 00:00:24.310304,0.2,0.01,0.9999,COMPLETE
6,6,23292.80601809144,2025-08-08 09:25:14.903558,2025-08-08 09:25:49.912292,0 days 00:00:35.008734,0.2,0.001,0.9999,COMPLETE
7,7,-120127.59653473806,2025-08-08 09:25:49.912742,2025-08-08 09:26:36.337609,0 days 00:00:46.424867,0.1,0.01,0.99,COMPLETE
8,8,-120127.59653473806,2025-08-08 09:26:36.338221,2025-08-08 09:27:23.948055,0 days 00:00:47.609834,0.1,0.01,0.99,COMPLETE
9,9,-55241.01547328913,2025-08-08 09:27:23.948566,2025-08-08 09:27:46.474022,0 days 00:00:22.525456,0.1,1e-05,0.9999,COMPLETE
10,10,-100012.71262543602,2025-08-08 09:27:46.474460,2025-08-08 09:28:38.902630,0 days 00:00:52.428170,0.2,1e-05,0.999,COMPLETE
11,11,4400.2777375436035,2025-08-08 09:28:38.903074,2025-08-08 09:29:10.617400,0 days 00:00:31.714326,0.2,0.001,0.999,COMPLETE
12,12,24655.74722861448,2025-08-08 09:29:10.617825,2025-08-08 09:29:55.668019,0 days 00:00:45.050194,0.2,0.001,0.99,COMPLETE
13,13,24655.74722861448,2025-08-08 09:29:55.668364,2025-08-08 09:30:41.054122,0 days 00:00:45.385758,0.2,0.001,0.99,COMPLETE
14,14,24655.74722861448,2025-08-08 09:30:41.054815,2025-08-08 09:31:26.273921,0 days 00:00:45.219106,0.2,0.001,0.99,COMPLETE
15,15,24655.74722861448,2025-08-08 09:31:26.274441,2025-08-08 09:32:12.355048,0 days 00:00:46.080607,0.2,0.001,0.99,COMPLETE
16,16,-120127.59653473806,2025-08-08 09:32:12.355999,2025-08-08 09:32:45.928871,0 days 00:00:33.572872,0.3,0.001,0.99,COMPLETE
17,17,24655.74722861448,2025-08-08 09:32:45.929420,2025-08-08 09:33:31.689044,0 days 00:00:45.759624,0.2,0.001,0.99,COMPLETE
18,18,4400.2777375436035,2025-08-08 09:33:31.689985,2025-08-08 09:34:04.635755,0 days 00:00:32.945770,0.2,0.001,0.999,COMPLETE
19,19,24655.74722861448,2025-08-08 09:34:04.636617,2025-08-08 09:34:50.530281,0 days 00:00:45.893664,0.2,0.001,0.99,COMPLETE
