,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-461.9564475884787,2025-08-09 11:05:08.940882,2025-08-09 11:05:37.286847,0 days 00:00:28.345965,"[0, 10, 20, 30]",relu,"[256, 128]",0.0001,COMPLETE
1,1,-3022.0422746338445,2025-08-09 11:05:37.288132,2025-08-09 11:08:38.755798,0 days 00:03:01.467666,"[0, 30, 60, 90]",tanh,"[256, 128]",0.0003,COMPLETE
2,2,-400.44865304891755,2025-08-09 11:08:38.756308,2025-08-09 11:09:09.922103,0 days 00:00:31.165795,"[0, 5, 10, 15, 20]",relu,"[64, 32]",0.0001,COMPLETE
3,3,-7939.6476779122595,2025-08-09 11:09:09.922527,2025-08-09 11:10:25.993149,0 days 00:01:16.070622,"[0, 30, 60, 90]",relu,"[64, 64]",0.0003,COMPLETE
4,4,16428.88145301053,2025-08-09 11:10:25.993583,2025-08-09 11:11:48.897046,0 days 00:01:22.903463,"[0, 50, 100, 150]",tanh,"[32, 32]",0.001,COMPLETE
5,5,-7172.66629142734,2025-08-09 11:11:48.897440,2025-08-09 11:13:19.306328,0 days 00:01:30.408888,"[0, 50, 100, 150]",tanh,"[64, 32]",0.0003,COMPLETE
6,6,-120955.46441990856,2025-08-09 11:13:19.306743,2025-08-09 11:14:28.696821,0 days 00:01:09.390078,"[0, 10, 20, 30]",relu,"[128, 64, 32]",0.0001,COMPLETE
7,7,-307361.18912823335,2025-08-09 11:14:28.697537,2025-08-09 11:15:38.953015,0 days 00:01:10.255478,"[0, 5, 10, 15, 20]",relu,"[256, 128, 64]",0.0003,COMPLETE
8,8,-6630.877755510773,2025-08-09 11:15:38.953437,2025-08-09 11:16:27.891872,0 days 00:00:48.938435,"[0, 30, 60, 90]",tanh,"[128, 64, 32]",0.0001,COMPLETE
9,9,-7957.003120830565,2025-08-09 11:16:27.892287,2025-08-09 11:18:44.262979,0 days 00:02:16.370692,"[0, 30, 60, 90]",relu,"[64, 32]",0.001,COMPLETE
10,10,16428.88145301053,2025-08-09 11:18:44.263958,2025-08-09 11:20:08.332276,0 days 00:01:24.068318,"[0, 50, 100, 150]",tanh,"[32, 32]",0.001,COMPLETE
11,11,16428.88145301053,2025-08-09 11:20:08.332691,2025-08-09 11:21:31.113677,0 days 00:01:22.780986,"[0, 50, 100, 150]",tanh,"[32, 32]",0.001,COMPLETE
12,12,16428.88145301053,2025-08-09 11:21:31.114092,2025-08-09 11:22:53.736771,0 days 00:01:22.622679,"[0, 50, 100, 150]",tanh,"[32, 32]",0.001,COMPLETE
13,13,-4271.212448601979,2025-08-09 11:22:53.737171,2025-08-09 11:25:02.421449,0 days 00:02:08.684278,"[0, 50, 100, 150]",tanh,"[128, 128]",0.001,COMPLETE
14,14,16428.88145301053,2025-08-09 11:25:02.422607,2025-08-09 11:26:25.858069,0 days 00:01:23.435462,"[0, 50, 100, 150]",tanh,"[32, 32]",0.001,COMPLETE
15,15,71.02463650175835,2025-08-09 11:26:25.858467,2025-08-09 11:27:36.566494,0 days 00:01:10.708027,"[0, 50, 100, 150]",tanh,"[128, 64]",0.001,COMPLETE
16,16,16428.88145301053,2025-08-09 11:27:36.566898,2025-08-09 11:29:00.439981,0 days 00:01:23.873083,"[0, 50, 100, 150]",tanh,"[32, 32]",0.001,COMPLETE
17,17,16428.88145301053,2025-08-09 11:29:00.440396,2025-08-09 11:30:23.532736,0 days 00:01:23.092340,"[0, 50, 100, 150]",tanh,"[32, 32]",0.001,COMPLETE
18,18,-9.45943406304301,2025-08-09 11:30:23.533152,2025-08-09 11:30:48.386055,0 days 00:00:24.852903,"[0, 5, 10, 15, 20]",tanh,"[128, 128]",0.001,COMPLETE
19,19,-11157.842797521302,2025-08-09 11:30:48.386466,2025-08-09 11:32:08.914869,0 days 00:01:20.528403,"[0, 10, 20, 30]",tanh,"[64, 64]",0.001,COMPLETE
