,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-3106.9454549650927,2025-08-08 11:58:55.826466,2025-08-08 12:00:35.892063,0 days 00:01:40.065597,"[0, 50, 100, 150]",tanh,"[256, 128, 64]",0.0001,COMPLETE
1,1,-38407.38258019429,2025-08-08 12:00:35.892668,2025-08-08 12:01:26.047440,0 days 00:00:50.154772,"[0, 10, 20, 30]",relu,"[256, 128]",0.0001,COMPLETE
2,2,-571.535029719088,2025-08-08 12:01:26.047856,2025-08-08 12:02:02.037444,0 days 00:00:35.989588,"[0, 5, 10, 15, 20]",relu,"[128, 128]",0.001,COMPLETE
3,3,-1782.992998273896,2025-08-08 12:02:02.037880,2025-08-08 12:02:31.174760,0 days 00:00:29.136880,"[0, 10, 20, 30]",tanh,"[128, 64]",0.0003,COMPLETE
4,4,-1932.1507542426925,2025-08-08 12:02:31.175138,2025-08-08 12:03:11.879913,0 days 00:00:40.704775,"[0, 30, 60, 90]",tanh,"[128, 128]",0.0001,COMPLETE
5,5,-1243.0773929948357,2025-08-08 12:03:11.880336,2025-08-08 12:03:51.652589,0 days 00:00:39.772253,"[0, 5, 10, 15, 20]",relu,"[64, 32]",0.001,COMPLETE
6,6,11628.57889318546,2025-08-08 12:03:51.653010,2025-08-08 12:05:09.414795,0 days 00:01:17.761785,"[0, 30, 60, 90]",relu,"[128, 64]",0.0003,COMPLETE
7,7,-3882.8851769878634,2025-08-08 12:05:09.415196,2025-08-08 12:06:03.581829,0 days 00:00:54.166633,"[0, 30, 60, 90]",relu,"[64, 64]",0.0003,COMPLETE
8,8,10667.741925167527,2025-08-08 12:06:03.582239,2025-08-08 12:07:00.536003,0 days 00:00:56.953764,"[0, 50, 100, 150]",relu,"[128, 128]",0.0001,COMPLETE
9,9,12555.820341964549,2025-08-08 12:07:00.536714,2025-08-08 12:08:26.785321,0 days 00:01:26.248607,"[0, 50, 100, 150]",relu,"[128, 64]",0.0001,COMPLETE
10,10,-3792.8583216055454,2025-08-08 12:08:26.785679,2025-08-08 12:09:54.264596,0 days 00:01:27.478917,"[0, 50, 100, 150]",tanh,"[128, 64, 32]",0.0001,COMPLETE
11,11,11628.57889318546,2025-08-08 12:09:54.265100,2025-08-08 12:11:13.406128,0 days 00:01:19.141028,"[0, 30, 60, 90]",relu,"[128, 64]",0.0003,COMPLETE
12,12,11628.57889318546,2025-08-08 12:11:13.408642,2025-08-08 12:12:33.335159,0 days 00:01:19.926517,"[0, 30, 60, 90]",relu,"[128, 64]",0.0003,COMPLETE
13,13,-3106.9454549650927,2025-08-08 12:12:33.336178,2025-08-08 12:14:12.655830,0 days 00:01:39.319652,"[0, 50, 100, 150]",relu,"[32, 32]",0.0003,COMPLETE
14,14,8285.122650879373,2025-08-08 12:14:12.656842,2025-08-08 12:16:09.575806,0 days 00:01:56.918964,"[0, 50, 100, 150]",relu,"[128, 64]",0.001,COMPLETE
15,15,11628.57889318546,2025-08-08 12:16:09.576189,2025-08-08 12:17:34.682843,0 days 00:01:25.106654,"[0, 30, 60, 90]",relu,"[128, 64]",0.0001,COMPLETE
16,16,-593.0885182744945,2025-08-08 12:17:34.683764,2025-08-08 12:18:15.128545,0 days 00:00:40.444781,"[0, 10, 20, 30]",relu,"[32, 32]",0.0003,COMPLETE
17,17,-1243.0773929948357,2025-08-08 12:18:15.128970,2025-08-08 12:18:45.319307,0 days 00:00:30.190337,"[0, 5, 10, 15, 20]",relu,"[256, 128]",0.0003,COMPLETE
18,18,-4118.750300034824,2025-08-08 12:18:45.319689,2025-08-08 12:20:08.309050,0 days 00:01:22.989361,"[0, 30, 60, 90]",tanh,"[256, 128, 64]",0.0001,COMPLETE
19,19,-3106.9454549650927,2025-08-08 12:20:08.310036,2025-08-08 12:21:41.173850,0 days 00:01:32.863814,"[0, 50, 100, 150]",relu,"[64, 32]",0.001,COMPLETE
