,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-1408.8573075733698,2025-08-08 09:40:19.740922,2025-08-08 09:41:21.141556,0 days 00:01:01.400634,"[0, 30, 60, 90]",tanh,"[32, 32]",0.0003,COMPLETE
1,1,-294194.2807192165,2025-08-08 09:41:21.142438,2025-08-08 09:42:08.631197,0 days 00:00:47.488759,"[0, 5, 10, 15, 20]",tanh,"[256, 128, 64]",0.001,COMPLETE
2,2,16433.6044388136,2025-08-08 09:42:08.631948,2025-08-08 09:43:14.281441,0 days 00:01:05.649493,"[0, 50, 100, 150]",tanh,"[64, 32]",0.001,COMPLETE
3,3,12265.454584835972,2025-08-08 09:43:14.281798,2025-08-08 09:44:37.140583,0 days 00:01:22.858785,"[0, 50, 100, 150]",relu,"[32, 32]",0.0003,COMPLETE
4,4,18555.870380619992,2025-08-08 09:44:37.141697,2025-08-08 09:46:07.445213,0 days 00:01:30.303516,"[0, 50, 100, 150]",relu,"[128, 128]",0.001,COMPLETE
5,5,-294194.2807192165,2025-08-08 09:46:07.445620,2025-08-08 09:47:18.809317,0 days 00:01:11.363697,"[0, 5, 10, 15, 20]",tanh,"[256, 128]",0.0003,COMPLETE
6,6,-133154.54713633898,2025-08-08 09:47:18.809829,2025-08-08 09:47:58.177499,0 days 00:00:39.367670,"[0, 10, 20, 30]",tanh,"[32, 32]",0.0003,COMPLETE
7,7,1778.0916188891924,2025-08-08 09:47:58.177896,2025-08-08 09:48:41.663963,0 days 00:00:43.486067,"[0, 10, 20, 30]",relu,"[128, 64]",0.0001,COMPLETE
8,8,13021.318906890105,2025-08-08 09:48:41.664347,2025-08-08 09:50:03.506676,0 days 00:01:21.842329,"[0, 50, 100, 150]",relu,"[32, 32]",0.0001,COMPLETE
9,9,-39598.66269748027,2025-08-08 09:50:03.507120,2025-08-08 09:51:08.791069,0 days 00:01:05.283949,"[0, 5, 10, 15, 20]",tanh,"[128, 64]",0.0003,COMPLETE
10,10,-40183.77885054825,2025-08-08 09:51:08.791460,2025-08-08 09:52:10.498718,0 days 00:01:01.707258,"[0, 30, 60, 90]",relu,"[128, 128]",0.001,COMPLETE
11,11,20072.795512850258,2025-08-08 09:52:10.499183,2025-08-08 09:53:58.822085,0 days 00:01:48.322902,"[0, 50, 100, 150]",relu,"[64, 32]",0.001,COMPLETE
12,12,20072.795512850258,2025-08-08 09:53:58.823001,2025-08-08 09:55:48.021875,0 days 00:01:49.198874,"[0, 50, 100, 150]",relu,"[64, 32]",0.001,COMPLETE
13,13,20072.795512850258,2025-08-08 09:55:48.022878,2025-08-08 09:57:37.708715,0 days 00:01:49.685837,"[0, 50, 100, 150]",relu,"[64, 32]",0.001,COMPLETE
14,14,20072.795512850258,2025-08-08 09:57:37.709749,2025-08-08 09:59:27.906382,0 days 00:01:50.196633,"[0, 50, 100, 150]",relu,"[64, 32]",0.001,COMPLETE
15,15,-21511.78601290452,2025-08-08 09:59:27.907388,2025-08-08 10:01:03.915234,0 days 00:01:36.007846,"[0, 50, 100, 150]",relu,"[128, 64, 32]",0.001,COMPLETE
16,16,20072.795512850258,2025-08-08 10:01:03.916246,2025-08-08 10:02:54.664804,0 days 00:01:50.748558,"[0, 50, 100, 150]",relu,"[64, 32]",0.001,COMPLETE
17,17,-4341.8689239653595,2025-08-08 10:02:54.665773,2025-08-08 10:04:00.064608,0 days 00:01:05.398835,"[0, 30, 60, 90]",relu,"[64, 64]",0.0001,COMPLETE
18,18,1388.319812734049,2025-08-08 10:04:00.065553,2025-08-08 10:04:43.037932,0 days 00:00:42.972379,"[0, 10, 20, 30]",relu,"[64, 32]",0.001,COMPLETE
19,19,6396.777759359332,2025-08-08 10:04:43.038437,2025-08-08 10:06:41.498541,0 days 00:01:58.460104,"[0, 50, 100, 150]",relu,"[256, 128, 64]",0.001,COMPLETE
