,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,2026.9902115083403,2025-08-08 18:50:53.543104,2025-08-08 18:52:18.224990,0 days 00:01:24.681886,"[0, 50, 100, 150]",tanh,"[128, 64]",0.001,COMPLETE
1,1,253.43176372165942,2025-08-08 18:52:18.225356,2025-08-08 18:53:00.464842,0 days 00:00:42.239486,"[0, 5, 10, 15, 20]",tanh,"[32, 32]",0.0003,COMPLETE
2,2,683.9944247519862,2025-08-08 18:53:00.465242,2025-08-08 18:54:41.715137,0 days 00:01:41.249895,"[0, 30, 60, 90]",relu,"[64, 32]",0.0003,COMPLETE
3,3,2222.850022651514,2025-08-08 18:54:41.715525,2025-08-08 18:57:33.498514,0 days 00:02:51.782989,"[0, 50, 100, 150]",relu,"[64, 32]",0.0001,COMPLETE
4,4,3478.2305871030176,2025-08-08 18:57:33.498912,2025-08-08 18:58:58.142700,0 days 00:01:24.643788,"[0, 30, 60, 90]",relu,"[256, 128]",0.001,COMPLETE
5,5,-14980.420927595755,2025-08-08 18:58:58.143095,2025-08-08 19:00:18.101632,0 days 00:01:19.958537,"[0, 10, 20, 30]",relu,"[128, 64]",0.0001,COMPLETE
6,6,-42940.434632872886,2025-08-08 19:00:18.102060,2025-08-08 19:01:53.246412,0 days 00:01:35.144352,"[0, 5, 10, 15, 20]",relu,"[32, 32]",0.001,COMPLETE
7,7,2367.231137854917,2025-08-08 19:01:53.246816,2025-08-08 19:03:25.671207,0 days 00:01:32.424391,"[0, 30, 60, 90]",relu,"[256, 128, 64]",0.0003,COMPLETE
8,8,-15.505220682029329,2025-08-08 19:03:25.671636,2025-08-08 19:03:52.164416,0 days 00:00:26.492780,"[0, 5, 10, 15, 20]",tanh,"[32, 32]",0.0001,COMPLETE
9,9,6383.458830456609,2025-08-08 19:03:52.164838,2025-08-08 19:05:40.837136,0 days 00:01:48.672298,"[0, 50, 100, 150]",tanh,"[32, 32]",0.0003,COMPLETE
10,10,5686.5160675937195,2025-08-08 19:05:40.837500,2025-08-08 19:07:10.726433,0 days 00:01:29.888933,"[0, 50, 100, 150]",tanh,"[64, 64]",0.0003,COMPLETE
11,11,5686.5160675937195,2025-08-08 19:07:10.726841,2025-08-08 19:08:48.203305,0 days 00:01:37.476464,"[0, 50, 100, 150]",tanh,"[64, 64]",0.0003,COMPLETE
12,12,5686.5160675937195,2025-08-08 19:08:48.203782,2025-08-08 19:10:17.472021,0 days 00:01:29.268239,"[0, 50, 100, 150]",tanh,"[64, 64]",0.0003,COMPLETE
13,13,5767.071876743797,2025-08-08 19:10:17.472486,2025-08-08 19:12:40.857193,0 days 00:02:23.384707,"[0, 50, 100, 150]",tanh,"[128, 64, 32]",0.0003,COMPLETE
14,14,564.6013294674282,2025-08-08 19:12:40.857604,2025-08-08 19:13:45.543819,0 days 00:01:04.686215,"[0, 10, 20, 30]",tanh,"[128, 64, 32]",0.0003,COMPLETE
15,15,5767.071876743797,2025-08-08 19:13:45.544217,2025-08-08 19:16:07.175748,0 days 00:02:21.631531,"[0, 50, 100, 150]",tanh,"[128, 64, 32]",0.0003,COMPLETE
16,16,4176.358076770738,2025-08-08 19:16:07.176150,2025-08-08 19:18:36.328556,0 days 00:02:29.152406,"[0, 50, 100, 150]",tanh,"[128, 128]",0.0003,COMPLETE
17,17,5767.071876743797,2025-08-08 19:18:36.329016,2025-08-08 19:20:57.839222,0 days 00:02:21.510206,"[0, 50, 100, 150]",tanh,"[128, 64, 32]",0.0003,COMPLETE
18,18,-2405.0230379936675,2025-08-08 19:20:57.839613,2025-08-08 19:22:16.841130,0 days 00:01:19.001517,"[0, 10, 20, 30]",tanh,"[256, 128]",0.001,COMPLETE
19,19,3915.9207947173254,2025-08-08 19:22:16.841619,2025-08-08 19:24:03.633669,0 days 00:01:46.792050,"[0, 50, 100, 150]",tanh,"[256, 128, 64]",0.0001,COMPLETE
