,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-67927.14910337502,2025-08-08 13:48:24.976732,2025-08-08 13:48:46.977511,0 days 00:00:22.000779,"[0, 5, 10, 15, 20]",tanh,"[128, 64, 32]",0.001,COMPLETE
1,1,-1135.0618543613934,2025-08-08 13:48:46.977897,2025-08-08 13:49:01.309758,0 days 00:00:14.331861,"[0, 5, 10, 15, 20]",tanh,"[32, 32]",0.001,COMPLETE
2,2,6679.731164686851,2025-08-08 13:49:01.310145,2025-08-08 13:50:32.551002,0 days 00:01:31.240857,"[0, 30, 60, 90]",relu,"[64, 32]",0.001,COMPLETE
3,3,1647.328124364447,2025-08-08 13:50:32.551488,2025-08-08 13:51:23.833200,0 days 00:00:51.281712,"[0, 5, 10, 15, 20]",tanh,"[128, 64]",0.0003,COMPLETE
4,4,16848.203341775647,2025-08-08 13:51:23.833589,2025-08-08 13:53:13.448631,0 days 00:01:49.615042,"[0, 30, 60, 90]",relu,"[64, 32]",0.0003,COMPLETE
5,5,5802.545887364344,2025-08-08 13:53:13.449448,2025-08-08 13:54:44.469744,0 days 00:01:31.020296,"[0, 30, 60, 90]",relu,"[128, 64, 32]",0.0003,COMPLETE
6,6,2614.532148386359,2025-08-08 13:54:44.470665,2025-08-08 13:56:06.709269,0 days 00:01:22.238604,"[0, 30, 60, 90]",tanh,"[256, 128]",0.0003,COMPLETE
7,7,8255.209889298922,2025-08-08 13:56:06.710235,2025-08-08 13:58:36.368011,0 days 00:02:29.657776,"[0, 50, 100, 150]",relu,"[128, 64, 32]",0.0003,COMPLETE
8,8,-1570.0609529441474,2025-08-08 13:58:36.368921,2025-08-08 13:58:51.750359,0 days 00:00:15.381438,"[0, 5, 10, 15, 20]",tanh,"[64, 64]",0.0001,COMPLETE
9,9,2029.8523418746008,2025-08-08 13:58:51.752862,2025-08-08 13:59:12.024469,0 days 00:00:20.271607,"[0, 5, 10, 15, 20]",tanh,"[256, 128, 64]",0.0001,COMPLETE
10,10,-4393.974446808308,2025-08-08 13:59:12.025864,2025-08-08 13:59:49.365594,0 days 00:00:37.339730,"[0, 10, 20, 30]",relu,"[64, 32]",0.0003,COMPLETE
11,11,8088.097133559919,2025-08-08 13:59:49.366028,2025-08-08 14:01:20.463839,0 days 00:01:31.097811,"[0, 50, 100, 150]",relu,"[128, 128]",0.0003,COMPLETE
12,12,6078.823381769598,2025-08-08 14:01:20.464758,2025-08-08 14:03:01.875251,0 days 00:01:41.410493,"[0, 50, 100, 150]",relu,"[64, 32]",0.0003,COMPLETE
13,13,8255.209889298922,2025-08-08 14:03:01.876356,2025-08-08 14:05:29.003680,0 days 00:02:27.127324,"[0, 50, 100, 150]",relu,"[128, 64, 32]",0.0003,COMPLETE
14,14,2058.428118593815,2025-08-08 14:05:29.004617,2025-08-08 14:06:23.138172,0 days 00:00:54.133555,"[0, 10, 20, 30]",relu,"[128, 64]",0.0003,COMPLETE
15,15,21038.63438567076,2025-08-08 14:06:23.138613,2025-08-08 14:07:52.777031,0 days 00:01:29.638418,"[0, 50, 100, 150]",relu,"[256, 128]",0.0001,COMPLETE
16,16,8761.042660894835,2025-08-08 14:07:52.777552,2025-08-08 14:09:17.509942,0 days 00:01:24.732390,"[0, 30, 60, 90]",relu,"[256, 128]",0.0001,COMPLETE
17,17,8761.042660894835,2025-08-08 14:09:17.510369,2025-08-08 14:10:42.070905,0 days 00:01:24.560536,"[0, 30, 60, 90]",relu,"[256, 128]",0.0001,COMPLETE
18,18,25054.351249394535,2025-08-08 14:10:42.071347,2025-08-08 14:12:31.801168,0 days 00:01:49.729821,"[0, 50, 100, 150]",relu,"[256, 128, 64]",0.0001,COMPLETE
19,19,25054.351249394535,2025-08-08 14:12:31.801946,2025-08-08 14:14:20.709953,0 days 00:01:48.908007,"[0, 50, 100, 150]",relu,"[256, 128, 64]",0.0001,COMPLETE
