,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-2716.9351453020963,2025-07-21 16:55:47.152920,2025-07-21 16:56:40.269758,0 days 00:00:53.116838,"[0, 50, 100]",relu,"[8, 2]",0.01,COMPLETE
1,1,3304.9830317782607,2025-07-21 16:56:40.270728,2025-07-21 16:58:31.323914,0 days 00:01:51.053186,"[0, 50, 100]",relu,"[6, 6, 6]",0.0005,COMPLETE
2,2,125.40758648668755,2025-07-21 16:58:31.326924,2025-07-21 16:58:59.825196,0 days 00:00:28.498272,"[0, 45, 50, 55]",tanh,"[4, 4, 4]",0.0005,COMPLETE
3,3,4251.555849727376,2025-07-21 16:58:59.826216,2025-07-21 16:59:28.181012,0 days 00:00:28.354796,"[0, 25, 50]",tanh,"[4, 4]",0.0005,COMPLETE
4,4,5209.85063684492,2025-07-21 16:59:28.181849,2025-07-21 17:00:34.219465,0 days 00:01:06.037616,"[0, 50, 100]",tanh,"[10, 4]",0.01,COMPLETE
