,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,21680.18562893424,2025-07-21 18:11:49.908586,2025-07-21 18:13:05.796334,0 days 00:01:15.887748,0.3,1e-05,0.9,COMPLETE
1,1,10315.540227527323,2025-07-21 18:13:05.797028,2025-07-21 18:14:07.294295,0 days 00:01:01.497267,0.2,1e-05,0.99,COMPLETE
2,2,58457.70052333955,2025-07-21 18:14:07.295114,2025-07-21 18:14:38.562777,0 days 00:00:31.267663,0.1,0.001,0.999,COMPLETE
3,3,2721.151556552966,2025-07-21 18:14:38.563150,2025-07-21 18:15:50.650045,0 days 00:01:12.086895,0.4,0.0001,0.999,COMPLETE
4,4,2721.151556552966,2025-07-21 18:15:50.650909,2025-07-21 18:17:03.123705,0 days 00:01:12.472796,0.4,1e-05,0.9999,COMPLETE
