,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,45186.56668514782,2025-07-21 18:26:09.226180,2025-07-21 18:27:03.842917,0 days 00:00:54.616737,0.3,0.01,0.999,COMPLETE
1,1,4287.390543725565,2025-07-21 18:27:03.843367,2025-07-21 18:28:52.537544,0 days 00:01:48.694177,0.3,0.0001,0.9999,COMPLETE
2,2,70521.57477234204,2025-07-21 18:28:52.537939,2025-07-21 18:30:08.825024,0 days 00:01:16.287085,0.1,0.01,0.999,COMPLETE
3,3,4261.150470580732,2025-07-21 18:30:08.825884,2025-07-21 18:32:12.599045,0 days 00:02:03.773161,0.3,0.001,0.99,COMPLETE
4,4,4517.692777335945,2025-07-21 18:32:12.599939,2025-07-21 18:33:55.001225,0 days 00:01:42.401286,0.3,0.0001,0.99,COMPLETE
