,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-3320.031751401539,2025-07-21 17:37:04.503914,2025-07-21 17:37:42.529780,0 days 00:00:38.025866,"[0, 45, 50, 55]",relu,"[6, 6, 6]",0.01,COMPLETE
1,1,-9344.244645837465,2025-07-21 17:37:42.530197,2025-07-21 17:39:28.549397,0 days 00:01:46.019200,"[0, 10, 15, 20]",tanh,"[10, 2]",0.001,COMPLETE
2,2,-9344.244645837465,2025-07-21 17:39:28.550309,2025-07-21 17:40:45.146578,0 days 00:01:16.596269,"[0, 10, 20, 30]",sigmoid,"[10, 2]",0.0001,COMPLETE
3,3,-2966.453195636103,2025-07-21 17:40:45.147651,2025-07-21 17:41:13.967432,0 days 00:00:28.819781,"[0, 25, 50]",sigmoid,"[4, 2]",0.0005,COMPLETE
4,4,-3158.015439013023,2025-07-21 17:41:13.967948,2025-07-21 17:42:02.769997,0 days 00:00:48.802049,"[0, 10, 15, 20]",tanh,"[6, 4]",0.01,COMPLETE
