,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,11298.896607440176,2025-07-21 17:51:18.681189,2025-07-21 17:54:17.227945,0 days 00:02:58.546756,0.2,0.001,0.99,COMPLETE
1,1,-192.19646827149668,2025-07-21 17:54:17.228620,2025-07-21 17:55:08.827179,0 days 00:00:51.598559,0.1,0.001,0.9999,COMPLETE
2,2,-192.19646827149668,2025-07-21 17:55:08.828171,2025-07-21 17:56:00.421690,0 days 00:00:51.593519,0.1,0.001,0.9999,COMPLETE
3,3,23484.50651548629,2025-07-21 17:56:00.422110,2025-07-21 17:56:45.715393,0 days 00:00:45.293283,0.05,0.0001,0.99,COMPLETE
4,4,3143.060302757515,2025-07-21 17:56:45.715988,2025-07-21 17:57:28.484070,0 days 00:00:42.768082,0.2,0.01,0.9999,COMPLETE
