,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,-2346.1845226890055,2025-07-21 18:02:26.466637,2025-07-21 18:02:48.263100,0 days 00:00:21.796463,0.05,0.0001,0.999,COMPLETE
1,1,-2407.1077647584348,2025-07-21 18:02:48.263518,2025-07-21 18:03:35.784782,0 days 00:00:47.521264,0.05,0.01,0.9999,COMPLETE
2,2,40564.46722825661,2025-07-21 18:03:35.785188,2025-07-21 18:04:20.405784,0 days 00:00:44.620596,0.4,0.001,0.9999,COMPLETE
3,3,40564.46722825661,2025-07-21 18:04:20.406143,2025-07-21 18:06:19.824623,0 days 00:01:59.418480,0.4,0.0001,0.9,COMPLETE
4,4,40564.46722825661,2025-07-21 18:06:19.825672,2025-07-21 18:07:32.530441,0 days 00:01:12.704769,0.4,0.01,0.99,COMPLETE
