,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-943.1659518380002,2025-07-21 18:07:32.882243,2025-07-21 18:08:34.332212,0 days 00:01:01.449969,"[0, 10, 20, 30]",relu,"[8, 2]",5e-05,COMPLETE
1,1,124.88501901911275,2025-07-21 18:08:34.332933,2025-07-21 18:09:52.625322,0 days 00:01:18.292389,"[0, 45, 50, 55]",tanh,"[4, 4, 4]",0.005,COMPLETE
2,2,-2650.7421288399305,2025-07-21 18:09:52.625760,2025-07-21 18:10:08.600444,0 days 00:00:15.974684,"[0, 10, 15, 20]",relu,"[8, 8]",5e-05,COMPLETE
3,3,2721.151556552966,2025-07-21 18:10:08.600969,2025-07-21 18:10:41.617330,0 days 00:00:33.016361,"[0, 25, 50]",sigmoid,"[4, 2]",0.005,COMPLETE
4,4,-943.1659518380002,2025-07-21 18:10:41.617706,2025-07-21 18:11:49.900574,0 days 00:01:08.282868,"[0, 10, 15, 20]",tanh,"[10, 2]",0.005,COMPLETE
