X,Y,Liquidity,Price,Price_Upper,Price_Lower,Gas,Action,Sigma,Width,Reward,Fee,LVR,ma24,ma168,Value
10.0,22450.33656139405,31826.93846494478,2244.2341,2312.5652861087424,2177.8985013054967,5,30,1.0,30,0.0,0.0,0.0,2231.424216666667,2103.0818124999996,44892.677561394055
8.757016114654938,25245.054002586585,27926.159808677323,2252.5615,2321.137197336065,2185.971247501009,5,30,0.006794298751520368,30,108.76664018977267,129.06267399334425,15.296033803571575,2233.0912375,2104.4214994047616,44970.771357337886
11.852030814377303,12802.598001126307,37607.05207468986,2229.05,2296.8939685793666,2163.139765988605,5,30,0.007091959824293588,30,-27.325527992655815,0.0,22.325527992655815,2233.695075,2105.6390744047617,39221.367287914036
12.80117533166405,24333.974180078636,40594.766927257355,2223.7473,2291.388307768787,2157.954714349162,5,30,0.006940125680287923,30,-28.050876736282383,0.0,23.050876736282383,2234.4684625,2106.8452446428573,52800.55326069317
10.221899868238358,34284.27705514353,32514.667642255463,2237.133,2305.1772737116153,2170.940712384257,5,30,0.006881066495454445,30,219.31248640144375,242.5169018965538,18.204415495110055,2235.1418708333335,2108.1315101190476,57152.026573075214
12.293416645675984,18302.03491612676,38963.18933861157,2223.711,2291.388307768787,2157.954714349162,5,30,0.006862851330770141,30,-26.634300692215813,0.0,21.634300692215813,2234.8834625,2109.353373809524,45639.04073869955
9.85659826851158,32804.46695187104,31339.995915181207,2236.8857,2304.9467790337117,2170.723640020255,5,30,0.00680498466844429,30,207.91806981480917,230.0779852358668,17.15991542105764,2234.3644916666667,2110.7756636904764,54852.55066934935
11.88001965921239,17572.933806336845,37660.959099963664,2223.287,2290.930098839718,2157.523188136303,5,30,0.006792006373449673,30,-25.479781478768118,0.0,20.479781478768118,2233.37595,2112.0219029761906,43985.627074408185
15.399958472890225,18669.022689012298,48613.32507106466,2203.8198,2270.8593582652984,2138.621219798504,5,30,0.0069111819753655025,30,-32.25135070241315,0.0,27.251350702413152,2231.7216000000003,2113.210736309524,52607.75609074555
15.075960706703235,34725.59612085766,47646.297686354184,2205.1995,2272.222214554582,2139.9047133663416,5,30,0.006738971160496217,30,6.441907633477086,36.84463263538697,25.402725001909886,2229.433595833333,2114.3357375,67971.09713329928
13.93079061548867,35901.91830797193,44016.59632118456,2210.1858,2277.454078396378,2144.8319119576754,5,30,0.006590907687382593,30,95.45249887941677,122.92551252271411,22.473013643297342,2227.9558249999995,2115.4650589285716,66691.55390909825
16.866608671367473,24355.66135963777,53193.481257932865,2196.39,2263.1519318614296,2131.3626171918063,5,30,0.006567073399366531,30,-31.87799643617004,0.0,26.87799643617004,2225.3356708333336,2116.508451785714,61401.31197934257
13.762512810967905,44017.47343666947,53193.481257932865,2208.453,2263.1519318614296,2131.3626171918063,0,0,0.006530821364987247,30,333.16092075185475,359.8158855082227,26.654964756367985,2225.251245833333,2117.579067261905,74411.33614158997
12.41990284111546,46986.085638715056,53193.481257932865,2213.7014,2263.1519318614296,2131.3626171918063,0,0,0.006388874547108333,30,130.70358429848358,156.24274747608385,25.539163177600276,2224.0688333333333,2118.6802208333334,74480.04194595633
15.895302631169487,39316.1657011119,50193.667150838606,2200.154,2267.002369571703,2134.988833744025,5,30,0.006373911057458088,30,-28.912637110393327,0.0,23.912637110393327,2222.5617416666664,2119.631423214286,74288.27936628996
11.450249781401585,44949.12617846633,36338.75904946286,2218.5469,2285.8958440414754,2152.7820912919706,5,30,0.006496982238705701,30,351.1392621161217,374.20134234541337,18.062080229291674,2222.1045375,2120.7586976190473,70352.0423352205
8.937324588071547,31152.8692358907,28386.048789581713,2233.0703,2301.03189384555,2167.0367289370106,5,30,0.006487304231264594,30,210.84365838420226,229.9568319248765,14.113173540674252,2223.2783,2121.912057142857,51110.543334973
7.709124693271948,22730.109546891323,24530.148258020185,2242.23,2310.485017624165,2175.9393723494018,5,30,0.00637363356632653,30,108.20114770306947,124.99768224953971,11.796534546470236,2223.9728,2122.975292857143,40015.74020788648
1.3914048509830215,31639.965651804225,4488.33074423567,2297.9373,2367.7881324267155,2229.905575421925,5,30,0.008150562691700306,30,129.52890652527645,138.1022036751501,3.5732971498736346,2226.8569791666664,2124.3747422619044,34837.32675827905
1.7498767010013934,2388.234853678756,5615.151132094642,2280.4421,2349.8620443243713,2213.0233707780685,5,30,0.008215434033265124,30,-9.524514757534174,0.0,4.524514757534175,2228.9844583333334,2125.6528833333336,6378.727352451446
1.8718643247451356,3715.555166455553,6005.5555139870585,2275.7178,2344.9327580535028,2208.3811298665078,5,30,0.008043329262070199,30,-9.633659239161627,0.0,4.633659239161627,2230.9150916666663,2126.957851190476,7975.390129463038
2.103957180956316,3743.1539765576495,6741.3371012114885,2267.3499,2336.272970317067,2200.2256244431164,5,30,0.007913275405164897,30,-10.025252493841748,0.0,5.025252493841748,2232.4970625,2128.215600595238,8513.561080403235
2.09148940704307,4815.530720203625,6696.684680692167,2267.7493,2336.7402482738603,2200.665691570261,5,30,0.007714784918487919,30,-8.26698909483952,1.4781071467969353,4.745096241636454,2233.8474666666666,2129.485982142857,9558.504358982962
1.4517934436764375,6209.521624088468,4672.659140664831,2288.5227,2358.100558550828,2220.78213456068,5,30,0.00773473569371645,30,45.17466119358958,53.51794063783052,3.343279444240941,2236.6699750000002,2130.8678571428572,9531.983875653168
1.2362863485992208,3827.437411835458,3990.192980391353,2298.6548,2368.498539902455,2230.574613993949,5,30,0.007569810761808974,30,14.474734447558713,22.215304024686887,2.740569577128174,2238.9375041666667,2132.3051654761903,6669.23296121753
