feature,selected,ranking,importance
ew_sigma,True,1,0.9879221677167213
ma24,False,18,
ma168,False,11,
sma_20,False,39,
sma_50,False,31,
sma_100,True,1,0.0021924953413197438
ema_5,False,37,
ema_12,False,40,
ema_26,False,32,
ema_50,False,16,
ema_100,False,26,
bb_upper,False,6,
bb_middle,True,1,0.002519310509995421
bb_lower,False,24,
bb_width_20,False,7,
bb_percent_20,False,12,
adxr,False,5,
dx,False,17,
rsi_7,True,1,0.0026889450966558707
rsi_14,False,35,
rsi_21,False,38,
stoch_k_5,False,15,
stoch_d_5,False,23,
stoch_k_14,True,1,0.0024082556001937183
stoch_d_14,False,10,
uo,False,22,
cmo_20,False,27,
atr_7,False,20,
atr_14,False,36,
atr_21,False,14,
stddev_20,False,30,
vix_proxy,False,8,
macd,False,29,
macd_signal,False,21,
macd_hist,False,4,
plus_di,True,1,0.002268825735114005
minus_di,False,13,
aroon_osc_25,False,28,
sar,False,34,
trix,False,9,
price_sma20_ratio,False,33,
price_ema12_ratio,False,19,
price_momentum_5,False,2,
price_momentum_10,False,25,
price_momentum_24,False,3,
ema_crossover,False,41,
