feature,selected,ranking,importance
ew_sigma,False,7,
ma24,False,41,
ma168,True,1,0.0009206493491535089
sma_20,False,35,
sma_50,False,31,
sma_100,False,21,
ema_5,True,1,0.9955462663152511
ema_12,False,10,
ema_26,False,40,
ema_50,False,36,
ema_100,False,29,
bb_upper,False,15,
bb_middle,False,28,
bb_lower,False,16,
bb_width_20,False,38,
bb_percent_20,False,3,
adxr,False,8,
dx,False,27,
rsi_7,True,1,0.0009649029742039187
rsi_14,False,9,
rsi_21,False,18,
stoch_k_5,False,25,
stoch_d_5,False,20,
stoch_k_14,False,30,
stoch_d_14,False,37,
uo,False,23,
cmo_20,False,32,
atr_7,False,24,
atr_14,False,34,
atr_21,False,13,
stddev_20,False,19,
vix_proxy,False,2,
macd,False,39,
macd_signal,False,33,
macd_hist,False,5,
plus_di,False,17,
minus_di,False,4,
aroon_osc_25,False,22,
sar,False,26,
trix,False,12,
price_sma20_ratio,False,14,
price_ema12_ratio,True,1,0.0014260587990353084
price_momentum_5,True,1,0.0011421225623562303
price_momentum_10,False,11,
price_momentum_24,False,6,
ema_crossover,False,42,
