feature,selected,ranking,importance
ew_sigma,False,3,
ma24,False,36,
ma168,True,1,0.0003320417817371485
sma_20,False,24,
sma_50,False,30,
sma_100,False,19,
ema_5,True,1,0.9964186043161567
ema_12,False,4,
ema_26,False,34,
ema_50,False,27,
ema_100,False,33,
bb_upper,False,14,
bb_middle,False,31,
bb_lower,False,9,
bb_width_20,False,29,
bb_percent_20,True,1,0.0003961262347390784
adxr,False,8,
dx,False,21,
rsi_7,True,1,0.0003590801684541218
rsi_14,False,6,
rsi_21,False,13,
stoch_k_5,False,11,
stoch_d_5,False,20,
stoch_k_14,False,22,
stoch_d_14,False,32,
uo,False,28,
cmo_20,False,26,
atr_7,False,17,
atr_14,False,25,
atr_21,False,10,
stddev_20,False,5,
vix_proxy,True,1,0.00038158940317196033
macd,False,35,
macd_signal,False,23,
macd_hist,True,1,0.00031474529612435573
plus_di,False,12,
minus_di,True,1,0.00037217838434482964
aroon_osc_25,False,18,
sar,False,15,
trix,False,2,
price_sma20_ratio,True,1,0.0003061702644284632
price_ema12_ratio,True,1,0.0006007130018020303
price_momentum_5,True,1,0.0005187511490413829
price_momentum_10,False,7,
price_momentum_24,False,16,
ema_crossover,False,37,
