feature,selected,ranking,importance
ew_sigma,True,1,0.9873570517729106
ma24,False,32,
ma168,False,3,
sma_20,False,41,
sma_50,False,31,
sma_100,False,19,
ema_5,False,35,
ema_12,False,39,
ema_26,False,40,
ema_50,False,36,
ema_100,False,38,
bb_upper,False,21,
bb_middle,True,1,0.0030546871514182568
bb_lower,False,9,
bb_width_20,True,1,0.0029524352963579974
bb_percent_20,False,2,
adxr,True,1,0.003298539077772049
dx,False,10,
rsi_7,False,16,
rsi_14,False,34,
rsi_21,False,37,
stoch_k_5,False,29,
stoch_d_5,False,33,
stoch_k_14,False,17,
stoch_d_14,False,7,
uo,False,14,
cmo_20,False,27,
atr_7,False,23,
atr_14,False,26,
atr_21,False,5,
stddev_20,False,20,
vix_proxy,False,13,
macd,False,30,
macd_signal,False,6,
macd_hist,False,12,
plus_di,False,22,
minus_di,False,11,
aroon_osc_25,False,18,
sar,False,28,
trix,False,15,
price_sma20_ratio,False,4,
price_ema12_ratio,False,8,
price_momentum_5,True,1,0.0033372867015411803
price_momentum_10,False,25,
price_momentum_24,False,24,
ema_crossover,False,42,
