feature,selected,ranking,importance
ew_sigma,False,13,
ma24,False,2,
ma168,True,1,0.01411217266918158
sma_20,False,5,
sma_50,True,1,0.003271649239159391
sma_100,False,7,
ema_5,True,1,0.9114103464947733
ema_12,True,1,0.006308318623414241
ema_26,True,1,0.0037125814273809084
ema_50,True,1,0.025956062235478566
ema_100,True,1,0.03522886931061211
bb_upper,False,33,
bb_middle,False,18,
bb_lower,False,4,
bb_width_20,False,26,
bb_percent_20,False,10,
adxr,False,12,
dx,False,28,
rsi_7,False,8,
rsi_14,False,25,
rsi_21,False,9,
stoch_k_5,False,21,
stoch_d_5,False,31,
stoch_k_14,False,34,
stoch_d_14,False,36,
uo,False,37,
cmo_20,False,27,
atr_7,False,30,
atr_14,False,35,
atr_21,False,22,
stddev_20,False,38,
vix_proxy,False,19,
macd,False,29,
macd_signal,False,39,
macd_hist,False,14,
plus_di,False,20,
minus_di,False,16,
aroon_osc_25,False,32,
sar,False,11,
trix,False,24,
price_sma20_ratio,False,15,
price_ema12_ratio,False,3,
price_momentum_5,False,6,
price_momentum_10,False,17,
price_momentum_24,False,23,
ema_crossover,False,40,
