feature,selected,ranking,importance
ew_sigma,True,1,0.9866196939534985
ma24,False,13,
ma168,False,4,
sma_20,False,39,
sma_50,False,30,
sma_100,False,24,
ema_5,False,40,
ema_12,False,41,
ema_26,False,38,
ema_50,False,17,
ema_100,False,20,
bb_upper,False,7,
bb_middle,True,1,0.004682456541555591
bb_lower,False,28,
bb_width_20,False,19,
bb_percent_20,False,5,
adxr,False,6,
dx,False,10,
rsi_7,True,1,0.0029021175678999368
rsi_14,False,37,
rsi_21,False,36,
stoch_k_5,False,11,
stoch_d_5,False,23,
stoch_k_14,False,2,
stoch_d_14,False,21,
uo,False,33,
cmo_20,False,25,
atr_7,False,14,
atr_14,False,26,
atr_21,True,1,0.0027202289870708087
stddev_20,False,31,
vix_proxy,False,8,
macd,False,35,
macd_signal,False,32,
macd_hist,False,9,
plus_di,False,18,
minus_di,False,12,
aroon_osc_25,False,27,
sar,False,34,
trix,False,3,
price_sma20_ratio,False,29,
price_ema12_ratio,False,22,
price_momentum_5,True,1,0.0030755029499752013
price_momentum_10,False,16,
price_momentum_24,False,15,
ema_crossover,False,42,
