feature,selected,ranking,importance
ew_sigma,True,1,0.06926716668654519
ma24,False,30,
ma168,False,7,
sma_20,False,31,
sma_50,False,23,
sma_100,False,18,
ema_5,True,1,0.06639236258387472
ema_12,False,28,
ema_26,False,29,
ema_50,False,32,
ema_100,False,26,
bb_upper,False,22,
bb_middle,False,25,
bb_lower,False,15,
bb_width_20,True,1,0.06615663174079105
bb_percent_20,True,1,0.06508574399712164
adxr,True,1,0.06636926258688196
dx,False,27,
rsi_7,True,1,0.06461865639621742
rsi_14,False,9,
rsi_21,False,16,
stoch_k_5,False,2,
stoch_d_5,False,8,
stoch_k_14,False,12,
stoch_d_14,True,1,0.06506809051094338
uo,False,4,
cmo_20,False,20,
atr_7,False,6,
atr_14,False,14,
atr_21,True,1,0.06685279114759946
stddev_20,False,10,
vix_proxy,True,1,0.06918063036035363
macd,False,17,
macd_signal,False,21,
macd_hist,True,1,0.06542384138720217
plus_di,False,5,
minus_di,False,3,
aroon_osc_25,False,24,
sar,False,19,
trix,False,13,
price_sma20_ratio,False,11,
price_ema12_ratio,True,1,0.06576960645204619
price_momentum_5,True,1,0.06965015482978179
price_momentum_10,True,1,0.06672785107049045
price_momentum_24,True,1,0.06548990371562924
ema_crossover,False,33,
chop_14,True,1,0.06794730653452181
