feature,selected,ranking,importance
ew_sigma,True,1,0.9627767788572376
ma24,False,93,
ma168,False,3,
bb_upper,False,6,
bb_middle,False,32,
bb_lower,False,71,
adxr,True,1,0.0024306841214589976
bop,False,36,
dx,True,1,0.0054981124946301
sma_5,False,84,
sma_10,False,103,
sma_20,False,74,
sma_50,False,100,
sma_100,False,44,
ema_5,False,14,
ema_10,False,58,
ema_12,False,75,
ema_26,False,98,
ema_50,False,95,
ema_100,False,21,
tema_5,False,66,
tema_10,False,4,
tema_20,False,26,
dema_5,False,70,
dema_10,True,1,0.004155773883185703
dema_20,False,10,
kama_10,False,57,
kama_30,False,73,
rsi_7,False,61,
rsi_14,False,67,
rsi_21,False,23,
stoch_k_5,False,88,
stoch_d_5,False,43,
stoch_k_14,False,63,
stoch_d_14,False,55,
stoch_k_21,False,42,
stoch_d_21,False,76,
stochrsi_k_14,False,81,
stochrsi_d_14,False,62,
stochrsi_k_21,False,104,
stochrsi_d_21,False,80,
cci_14,False,34,
cci_20,True,1,0.0037663307712735824
cci_50,False,7,
roc_12,False,50,
roc_25,False,53,
mom_10,False,77,
mom_14,False,35,
willr_14,False,78,
willr_28,False,89,
uo,False,25,
cmo_20,False,85,
atr_7,False,83,
atr_14,False,79,
atr_21,False,69,
bb_upper_10,False,39,
bb_middle_10,False,92,
bb_lower_10,False,90,
bb_width_10,True,1,0.003220911345213622
bb_percent_10,False,28,
bb_upper_20,False,97,
bb_middle_20,False,86,
bb_lower_20,False,29,
bb_width_20,False,18,
bb_percent_20,False,13,
trange,False,27,
stddev_5,False,11,
stddev_20,False,37,
stddev_50,False,9,
plus_di,False,38,
minus_di,False,8,
macd,False,19,
macd_signal,True,1,0.0031255192175239253
macd_hist,False,45,
aroon_up_14,False,99,
aroon_down_14,False,94,
aroon_osc_14,False,24,
aroon_up_25,False,96,
aroon_down_25,False,65,
aroon_osc_25,False,52,
sar,False,82,
trix,False,47,
high_low_ratio,False,54,
close_open_ratio,False,59,
price_sma20_ratio,False,68,
price_ema12_ratio,False,51,
atr_sma_ratio,False,72,
stddev_price_ratio,False,64,
price_lag_1,False,48,
price_lag_5,False,101,
price_lag_10,False,91,
price_lag_24,True,1,0.003633479619361956
returns_lag_1,True,1,0.003705358838515258
returns_lag_5,False,16,
returns_lag_10,False,49,
returns_lag_24,False,30,
skewness_20,False,31,
kurtosis_20,False,20,
skewness_50,False,41,
kurtosis_50,False,17,
ew_sigma_01,True,1,0.007687050851599234
ew_sigma_02,False,46,
price_momentum_1,False,5,
price_momentum_5,False,2,
price_momentum_10,False,87,
price_momentum_24,False,60,
daily_range,False,56,
gap,False,22,
ht_trendline,False,102,
ht_trendmode,False,105,
ht_dcperiod,False,40,
ht_dcphase,False,12,
ht_inphase,False,15,
ht_quadrature,False,33,
