feature,selected,ranking,importance
ew_sigma,False,4,
ma24,False,39,
ma168,False,3,
sma_20,False,36,
sma_50,False,33,
sma_100,False,34,
ema_5,True,1,0.9977245142522555
ema_12,False,17,
ema_26,False,28,
ema_50,False,40,
ema_100,False,27,
bb_upper,False,12,
bb_middle,False,32,
bb_lower,False,6,
bb_width_20,False,35,
bb_percent_20,True,1,0.0004128447012106728
adxr,False,15,
dx,False,22,
rsi_7,False,5,
rsi_14,False,18,
rsi_21,False,2,
stoch_k_5,False,21,
stoch_d_5,False,16,
stoch_k_14,False,29,
stoch_d_14,False,38,
uo,False,24,
cmo_20,False,26,
atr_7,False,20,
atr_14,False,31,
atr_21,False,9,
stddev_20,False,13,
vix_proxy,True,1,0.0003863253315497056
macd,False,37,
macd_signal,False,30,
macd_hist,False,10,
plus_di,False,19,
minus_di,True,1,0.0003687663151007141
aroon_osc_25,False,25,
sar,False,23,
trix,False,11,
price_sma20_ratio,False,8,
price_ema12_ratio,True,1,0.0006364698622743735
price_momentum_5,True,1,0.00047107953760883745
price_momentum_10,False,14,
price_momentum_24,False,7,
ema_crossover,False,41,
