feature,selected,ranking,importance
ew_sigma,True,1,7.717109487073701e-05
ma24,True,1,0.11065756034005311
ma168,False,9,
sma_20,False,27,
sma_50,True,1,0.1958099213555137
sma_100,True,1,0.008571445494262498
ema_5,True,1,0.21539589338106835
ema_12,True,1,8.796218496034864e-05
ema_26,True,1,0.18745082445690964
ema_50,True,1,0.06814482724698843
ema_100,True,1,0.20434676056291162
bb_upper,False,13,
bb_middle,False,19,
bb_lower,True,1,0.008623728715099763
bb_width_20,False,26,
bb_percent_20,True,1,9.017624286840103e-05
adxr,True,1,8.032940537099966e-05
dx,False,20,
rsi_7,True,1,9.903810805422798e-05
rsi_14,False,7,
rsi_21,True,1,7.661845490348611e-05
stoch_k_5,False,11,
stoch_d_5,False,14,
stoch_k_14,False,18,
stoch_d_14,False,28,
uo,False,24,
cmo_20,False,17,
atr_7,False,15,
atr_14,False,23,
atr_21,False,10,
stddev_20,False,8,
vix_proxy,False,5,
macd,False,21,
macd_signal,False,25,
macd_hist,True,1,7.580891866142844e-05
plus_di,False,6,
minus_di,False,3,
aroon_osc_25,False,16,
sar,False,22,
trix,False,12,
price_sma20_ratio,True,1,7.748597122517734e-05
price_ema12_ratio,True,1,0.00018114272582182674
price_momentum_5,True,1,0.0001533053404564267
price_momentum_10,False,2,
price_momentum_24,False,4,
ema_crossover,False,29,
